INDEX,CRC Index,SMILES,tmp/ºC,Processed tmp/ºC
0,0,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,31.6(5),31.6
1,1,CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,173.5,173.5
2,2,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,160,160.0
3,3,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,263,263.0
4,4,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,121,121.0
5,5,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,290,290.0
6,6,c1cc2c3c(cccc3c1)CC2,93(2),93.0
7,7,C1=Cc2cccc3cccc1c23,89.4(3),89.4
8,8,O=C1C(=O)c2cccc3cccc1c23,259(9),259.0
9,9,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,198,198.0
10,10,COP(=O)(NC(C)=O)SC,92.0(5),92.0
11,12,CC1=CC(=O)NS(=O)(=O)O1,123.2,123.2
12,13,CC=O,-123.4(7),-123.4
13,14,CC=NNc1ccccc1,99.5,99.5
14,15,CC=NO,25(1),25.0
15,16,CC(N)=O,80.16(4),80.16
16,17,CC(=O)Nc1ccccc1,114.35(4),114.35
17,18,CC(=O)Nc1nnc(S(N)(=O)=O)s1,260.5,260.5
18,20,CC(=O)O,17(3),17.0
19,21,CC(=O)NNc1ccccc1,130.0,130.0
20,22,CC(=O)OC(C)=O,-73.4(8),-73.4
21,23,CC(=O)CC(=O)Nc1ccccc1,86,86.0
22,24,CC(=O)CC(=O)O,36.5,36.5
23,27,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,188,188.0
24,28,CC(=O)NN,67,67.0
25,29,CC(=O)NO,90,90.0
26,30,CC(=O)c1cccc2ccccc12,34,34.0
27,31,CC(=O)c1ccc2ccccc2c1,52(1),52.0
28,32,CC(C)=O,-94.9(4),-94.9
29,33,CC(C)(O)C#N,-19,19.0
30,34,CC(C)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],128,128.0
31,35,CC(C)=NN=C(C)C,-12.5,-12.5
32,36,CC(C)=NNC(N)=S,176,176.0
33,37,CC#N,-44(1),44.0
34,38,CC(=O)c1ccccc1,19.4(4),19.4
35,39,CC(=NN=C(C)c1ccccc1)c1ccccc1,120,120.0
36,41,CC(=O)NC(C)=O,79,79.0
37,42,CC(=O)NC(C)C(=O)O,125,125.0
38,43,CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1,149,149.0
39,44,CC(=O)Nc1ccccc1C(=O)O,187.5,187.5
40,45,CC(=O)Nc1ccc(C(=O)O)cc1,256.5,256.5
41,46,CC(=O)NC(C=O)C(O)C(O)C(O)CO,205,205.0
42,47,CC(=O)N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,128,128.0
43,48,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,193,193.0
44,49,CC(=O)Nc1cccc2c1-c1ccccc1C2,200,200.0
45,50,CC(=O)NCCCCCC(=O)O,104.5,104.5
46,51,COc1ccc(C(C)=O)cc1,38.2(6),38.2
47,52,CC(=O)c1ccccc1C(=O)O,114.5,114.5
48,53,CC(=O)c1cccc(C(=O)O)c1,172,172.0
49,54,CC(=O)c1ccc(C(=O)O)cc1,208,208.0
50,55,CC(=O)OOC(=O)c1ccccc1,37,37.0
51,56,CC(=O)Br,-96.5(5),-96.5
52,57,CC(=O)Cl,-112.7(8),-112.7
53,58,CC(=O)OCC[N+](C)(C)C.[Br-],146,146.0
54,59,CC(=O)OCC[N+](C)(C)C.[Cl-],150,150.0
55,60,CC(=O)OCC[N+](C)(C)C.[I-],163,163.0
56,61,CC(=O)C1CCCCC1=O,-11,11.0
57,63,CC(=O)NC(CS)C(=O)O,109.5,109.5
58,65,CC(=O)c1cc(O)ccc1O,205.3,205.3
59,66,C#C,-81.5(9),-81.5
60,67,CC(=O)NCCO,63.5,63.5
61,68,CC(=O)F,-84,84.0
62,69,CC(=O)NC(CCC(=O)O)C(=O)O,199,199.0
63,70,CC(=O)NCC(=O)O,206,206.0
64,71,CC(=O)N1CC(O)CC1C(=O)O,132,132.0
65,72,CC(=O)n1ccnc1,104.5,104.5
66,75,CC(=O)NCCCCC(N)C(=O)O,265 dec,265.0
67,76,CSCCC(NC(C)=O)C(=O)O,114.5,114.5
68,78,CCC12CCCN3CCC4(c5cccc(OC)c5N(C(C)=O)C4CC1)C32,208,208.0
69,79,CC(=O)N(C)C(C)=O,-25,25.0
70,80,CC(=O)N1CCCC(C)C1,-13.6,-13.6
71,81,CC(=O)C1C(=O)C=C(C)OC1=O,109,109.0
72,82,CC(=O)N1CCOCC1,14.5,14.5
73,83,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,186,186.0
74,85,CC(=O)Oc1ccccc1C(=O)O,136(4),136.0
75,86,CC(=O)Oc1ccc(C(=O)O)cc1,188.5,188.5
76,87,CC(=O)Oc1ccc(Br)cc1C(=O)O,60,60.0
77,88,COc1cc(C=O)ccc1OC(C)=O,78,78.0
78,89,CC(=O)OCC(=O)c1ccccc1,49,49.0
79,91,CCCC[Sn](CCCC)(CCCC)OC(C)=O,84.7,84.7
80,92,CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,125.2(5),125.2
81,94,CC(=O)NC(Cc1ccccc1)C(=O)O,173.5,173.5
82,95,CCOC(=O)C(Cc1ccccc1)NC(C)=O,93,93.0
83,96,COC(=O)C(Cc1ccccc1)NC(C)=O,91,91.0
84,98,CC(=O)N1CCCCC1,-13.4,-13.4
85,101,CSc1ccc(C(C)=O)cc1,81.5,81.5
86,102,CC(=O)SCC[N+](C)(C)C.[I-],205,205.0
87,103,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,189.5,189.5
88,104,CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,153,153.0
89,105,CCOC(=O)C(Cc1ccc(O)cc1)NC(C)=O,80.5,80.5
90,106,CC(=O)NC(C(=O)O)C(C)C,164,164.0
91,108,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],164.3(5),164.3
92,109,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,132,132.0
93,110,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,204,204.0
94,111,Nc1c2ccccc2nc2ccccc12,241,241.0
95,112,c1ccc2nc3ccccc3cc2c1,110.06(5),110.06
96,113,Nc1ccc2cc3ccc(N)cc3nc2c1,285,285.0
97,114,O=c1c2ccccc2[nH]c2ccccc12,>300,300.0
98,115,C=CC=O,-87.8(9),-87.8
99,116,C=CC(N)=O,85(1),85.0
100,117,C=CC(=O)O,13.56(5),13.56
101,118,C=CC#N,-83.51(5),-83.51
102,119,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,225,225.0
103,120,Nc1ncnc2nc[nH]c12,360 dec,360.0
104,121,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,235.5,235.5
105,122,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,219,219.0
106,124,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)O)C(O)C1O,204,204.0
107,125,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,195 dec,195.0
108,126,Nc1ncnc2c1ncn2C1OC(CO)C(OP(=O)(O)O)C1O,195 dec,195.0
109,127,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,144 dec,144.0
110,128,Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,210 dec,210.0
111,129,NC(=O)CCCCC(=O)O,161.5,161.5
112,130,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl,113.5,113.5
113,131,CNCC(=O)c1ccc(O)c(O)c1,235 dec,235.0
114,132,CC=CC=CCCC=CC(=O)NCC(C)C,23,23.0
115,133,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,268,268.0
116,134,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1CCOC1O2,287.5,287.5
117,135,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,245,245.0
118,136,NC(CCC(=O)NNc1ccc(CO)cc1)C(=O)O,207 dec,207.0
119,137,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,206,206.0
120,138,CCc1cccc(CC)c1N(COC)C(=O)CCl,42(2),42.0
121,139,CC(N)C(=O)O,300 dec,300.0
122,142,NCCC(=O)O,200 dec,200.0
123,143,C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,76,76.0
124,144,CNC(=O)ON=CC(C)(C)SC,101.1(4),101.1
125,145,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,166.5,166.5
126,146,CNC(=O)ON=CC(C)(C)S(C)(=O)=O,141,141.0
127,147,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,103.8(3),103.8
