SMILES,MP_reported,MP_raw,Source,Source_file,Accepted_for_consensus,MP_quality,Consensus_method,Group_MP_range
Br/C=C/Br,-53.0,-53.0,4,train_without_data_augmentation.csv,False,unresolved,unresolved,46.5
Br/C=C/Br,-6.5,-6.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,False,unresolved,unresolved,46.5
BrBr,-7.225,-7.225,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.024999999999999467
BrBr,-7.2,-7.2,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.024999999999999467
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,114.0,114,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.0
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,114.0,114.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.0
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,116.0,116.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.0
BrC(Br)(Br)Br,90.0,90(2),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.09999999999999432
BrC(Br)(Br)Br,90.1,90.1,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.09999999999999432
BrC(Br)Br,8.3,8.3,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.6999999999999993
BrC(Br)Br,8.5,8.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.6999999999999993
BrC(Br)Br,8.69,8.69(2),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.6999999999999993
BrC(Br)Br,9.0,9.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.6999999999999993
BrC(Br)c1ccc(C(Br)Br)cc1,168.0,168,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,3.5
BrC(Br)c1ccc(C(Br)Br)cc1,168.0,168.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,3.5
BrC(Br)c1ccc(C(Br)Br)cc1,171.5,171.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,3.5
BrC(Br)c1ccccc1C(Br)Br,116.0,116,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.5
BrC(Br)c1ccccc1C(Br)Br,116.0,116.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.5
BrC(Br)c1ccccc1C(Br)Br,116.0,116.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.5
BrC(Br)c1ccccc1C(Br)Br,116.5,116.5,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.5
BrC(c1ccccc1)(c1ccccc1)c1ccccc1,153.0,153,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
BrC(c1ccccc1)(c1ccccc1)c1ccccc1,153.15,153.15,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrC(c1ccccc1)(c1ccccc1)c1ccccc1,153.5,153.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrC(c1ccccc1)(c1ccccc1)c1ccccc1,154.0,154.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
BrC(c1ccccc1)c1ccccc1,39.0,39.0,4,train_without_data_augmentation.csv,True,review,median_all,6.0
BrC(c1ccccc1)c1ccccc1,41.835,41.835,2,2_EGNN_melt_point.csv,True,review,median_all,6.0
BrC(c1ccccc1)c1ccccc1,45.0,45,1,1_ChemXplore_ML_tmp_C.csv,True,review,median_all,6.0
BrC(c1ccccc1)c1ccccc1,45.0,45.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,review,median_all,6.0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,167.0,167,1,1_ChemXplore_ML_tmp_C.csv,True,review,median_all,8.0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,175.0,175.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,review,median_all,8.0
BrC1CCCCC1,-57.0,-57.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.25
BrC1CCCCC1,-56.75,-56.75,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.25
BrC1CCCCC1,-56.75,-56.75,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.25
BrC1c2ccccc2-c2ccccc21,103.0,103.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.20000000000000284
BrC1c2ccccc2-c2ccccc21,103.2,103.2,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.20000000000000284
BrC1c2ccccc2-c2ccccc21,103.2,103.2,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.20000000000000284
BrC=CBr,-53.0,-53,1,1_ChemXplore_ML_tmp_C.csv,False,unresolved,unresolved,15.5
BrC=CBr,-37.5,-37.5,2,2_EGNN_melt_point.csv,False,unresolved,unresolved,15.5
BrC=Cc1ccccc1,-8.0,-8.0,4,train_without_data_augmentation.csv,True,near_exact,dominant_cluster,15.0
BrC=Cc1ccccc1,-7.0,-7,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,dominant_cluster,15.0
BrC=Cc1ccccc1,7.0,7,2,2_EGNN_melt_point.csv,False,near_exact,dominant_cluster,15.0
BrCBr,-53.0,-53.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.8999999999999986
BrCBr,-52.5,-52.5,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.8999999999999986
BrCBr,-52.5,-52.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.8999999999999986
BrCBr,-52.1,-52.1(7),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.8999999999999986
BrCC(Br)(Br)CBr,10.75,10.75,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.25
BrCC(Br)(Br)CBr,10.75,10.75,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.25
BrCC(Br)(Br)CBr,11.0,11.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.25
BrCC(Br)Br,-29.2,-29.2(2),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.1999999999999993
BrCC(Br)Br,-29.15,-29.15,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.1999999999999993
BrCC(Br)Br,-29.15,-29.15,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.1999999999999993
BrCC(Br)Br,-29.0,-29.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.1999999999999993
BrCC(Br)CBr,14.0,14(4),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,3.0
BrCC(Br)CBr,16.5,16.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,3.0
BrCC(Br)CBr,16.63,16.63,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,3.0
BrCC(Br)CBr,17.0,17.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,3.0
BrCC(Br)c1ccccc1,72.0,72.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,1.5
BrCC(Br)c1ccccc1,73.0,73(1),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,1.5
BrCC(Br)c1ccccc1,73.5,73.5,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,1.5
BrCC(Br)c1ccccc1,73.5,73.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,1.5
BrCC(CBr)(CBr)CBr,160.29,160.29(5),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.710000000000008
BrCC(CBr)(CBr)CBr,163.0,163.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.710000000000008
BrCC(CBr)(CBr)CBr,163.0,163.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.710000000000008
BrCC=Cc1ccccc1,29.0,29.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,5.0
BrCC=Cc1ccccc1,34.0,34,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,5.0
