number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,43.40309448242188,2026-02-25 06:04:17.707790,2026-02-25 06:06:16.430621,0 days 00:01:58.722831,16,0.44082982071619053,0.0002860602833987162,0.00036613559717124655,COMPLETE
1,42.225690841674805,2026-02-25 06:06:16.494144,2026-02-25 06:08:51.841650,0 days 00:02:35.347506,32,0.28956170379138213,0.000125889839898285,1.2029833271336654e-05,COMPLETE
2,54.31145057678223,2026-02-25 06:08:51.908661,2026-02-25 06:11:25.731457,0 days 00:02:33.822796,16,0.33218189206911386,1.1414394856840153e-05,0.0002792168646127949,COMPLETE
3,41.352752685546875,2026-02-25 06:11:25.785380,2026-02-25 06:13:51.055844,0 days 00:02:25.270464,64,0.23967124029317882,0.00023760475590883296,7.714445210511159e-06,COMPLETE
4,54.56185035705566,2026-02-25 06:13:51.153922,2026-02-25 06:16:28.380719,0 days 00:02:37.226797,16,0.49729599085372655,1.3123887638071724e-05,0.0004234094210755992,COMPLETE
5,44.258908081054685,2026-02-25 06:16:28.442413,2026-02-25 06:18:41.486905,0 days 00:02:13.044492,32,0.4974781672670835,0.00016098928827206995,5.918968662959356e-06,COMPLETE
6,41.63692092895508,2026-02-25 06:18:41.552039,2026-02-25 06:20:55.564670,0 days 00:02:14.012631,64,0.2909728253384402,0.0002780701716105233,1.093628878332765e-06,COMPLETE
7,41.564931106567386,2026-02-25 06:20:55.663400,2026-02-25 06:23:03.941599,0 days 00:02:08.278199,16,0.2629003791881028,0.0003385157520147891,0.00011706440303453629,COMPLETE
8,42.3352554321289,2026-02-25 06:23:04.002501,2026-02-25 06:25:33.327808,0 days 00:02:29.325307,32,0.21963319049553195,6.671865940572374e-05,1.1068067086242698e-06,COMPLETE
9,42.030117416381835,2026-02-25 06:25:33.395700,2026-02-25 06:27:52.727142,0 days 00:02:19.331442,16,0.26906943256534954,0.00019065012366942504,4.969531208174179e-05,COMPLETE
10,42.091685104370114,2026-02-25 06:27:52.789814,2026-02-25 06:29:33.486166,0 days 00:01:40.696352,64,0.38788207355728704,0.0009667336924867245,6.6747376708555595e-06,COMPLETE
11,40.76137466430664,2026-02-25 06:29:33.575339,2026-02-25 06:31:23.709959,0 days 00:01:50.134620,64,0.20475581415598765,0.0007473098992377505,7.807480927380374e-05,COMPLETE
12,40.8837890625,2026-02-25 06:31:23.803194,2026-02-25 06:32:44.799121,0 days 00:01:20.995927,64,0.20930045833115474,0.000918903457681698,2.729224163947857e-05,COMPLETE
13,40.6878116607666,2026-02-25 06:32:44.905487,2026-02-25 06:34:08.476279,0 days 00:01:23.570792,64,0.20421439545507827,0.00097863029968223,3.8248302689991694e-05,COMPLETE
14,40.85371017456055,2026-02-25 06:34:08.566965,2026-02-25 06:36:00.482675,0 days 00:01:51.915710,64,0.20029943101170067,0.0004666389644198807,8.901904850926447e-05,COMPLETE
15,44.476396560668945,2026-02-25 06:36:00.588148,2026-02-25 06:40:04.134635,0 days 00:04:03.546487,64,0.3525936434801051,4.637809077593925e-05,2.330464209356546e-05,COMPLETE
16,41.529829025268555,2026-02-25 06:40:04.226181,2026-02-25 06:42:13.693705,0 days 00:02:09.467524,64,0.32441505044249747,0.0005115272934468755,0.00011804596831471639,COMPLETE
17,41.15330429077149,2026-02-25 06:42:13.796385,2026-02-25 06:43:43.229582,0 days 00:01:29.433197,64,0.24710261868676278,0.0006047995642830148,0.0008523066322848156,COMPLETE
18,48.88669090270996,2026-02-25 06:43:43.327924,2026-02-25 06:47:35.439352,0 days 00:03:52.111428,64,0.37189703123893664,3.145088926147131e-05,5.538467323004458e-05,COMPLETE
19,42.548255157470706,2026-02-25 06:47:35.520482,2026-02-25 06:49:29.018902,0 days 00:01:53.498420,64,0.424228567481123,0.0006829765015611302,1.5714033097415304e-05,COMPLETE
