number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,45.45549545288086,2026-02-25 06:50:55.685278,2026-02-25 06:52:22.253645,0 days 00:01:26.568367,16,0.43848042082186256,0.0004977808972034456,0.00019861838097814588,COMPLETE
1,45.41493186950684,2026-02-25 06:52:22.315153,2026-02-25 06:53:35.992573,0 days 00:01:13.677420,64,0.4385053919761965,0.0008147220611285629,1.038785309439031e-05,COMPLETE
2,45.171376419067386,2026-02-25 06:53:36.103063,2026-02-25 06:55:26.817039,0 days 00:01:50.713976,64,0.33074900124059003,0.0002931940394209796,0.0002904515585935377,COMPLETE
3,56.629177474975585,2026-02-25 06:55:26.930317,2026-02-25 06:57:18.750085,0 days 00:01:51.819768,32,0.4751553401619588,1.7711796490520227e-05,6.954119767105053e-05,COMPLETE
4,63.744761276245114,2026-02-25 06:57:18.817683,2026-02-25 06:58:57.056865,0 days 00:01:38.239182,64,0.2608941658625333,1.1998674746837138e-05,2.069380340062756e-06,COMPLETE
5,45.729489135742185,2026-02-25 06:58:57.152524,2026-02-25 07:00:17.381913,0 days 00:01:20.229389,64,0.46692869245517066,0.0006318825536130585,1.171399901543406e-06,COMPLETE
6,46.22290115356445,2026-02-25 07:00:17.472041,2026-02-25 07:02:09.792529,0 days 00:01:52.320488,32,0.4783851555537325,6.420695524600552e-05,0.00041974284198210586,COMPLETE
7,45.84379768371582,2026-02-25 07:02:09.860228,2026-02-25 07:04:09.484471,0 days 00:01:59.624243,64,0.42673509915755276,0.00017133555583563406,8.93935269687242e-05,COMPLETE
8,44.78945083618164,2026-02-25 07:04:09.579552,2026-02-25 07:06:26.507822,0 days 00:02:16.928270,64,0.22510097651765215,0.0001754915205885708,1.4773756976686506e-06,COMPLETE
9,45.759185028076175,2026-02-25 07:06:26.617468,2026-02-25 07:08:30.128042,0 days 00:02:03.510574,16,0.3087442765032462,5.5706493351575973e-05,1.2121138708605848e-06,COMPLETE
10,44.982238388061525,2026-02-25 07:08:30.190320,2026-02-25 07:10:27.432216,0 days 00:01:57.241896,32,0.21221659792215491,0.00011084687968418928,8.319727824061808e-06,COMPLETE
11,44.77205352783203,2026-02-25 07:10:27.498420,2026-02-25 07:12:22.142922,0 days 00:01:54.644502,32,0.20478960780462135,0.00014023468504980783,7.785219258298091e-06,COMPLETE
12,44.540880584716795,2026-02-25 07:12:22.209886,2026-02-25 07:14:03.282169,0 days 00:01:41.072283,32,0.20300110881263936,0.00020113618376852176,6.347787134889249e-06,COMPLETE
13,46.70555038452149,2026-02-25 07:14:03.349481,2026-02-25 07:16:29.776758,0 days 00:02:26.427277,32,0.2836653249697597,3.3921992076506573e-05,1.0211139252167285e-05,COMPLETE
14,45.31938018798828,2026-02-25 07:16:29.842047,2026-02-25 07:17:52.349560,0 days 00:01:22.507513,32,0.38124745653925896,0.0002924481227860267,5.291968735940182e-06,COMPLETE
15,45.05513343811035,2026-02-25 07:17:52.412576,2026-02-25 07:19:51.942286,0 days 00:01:59.529710,32,0.2509776360385008,0.00011834556946662385,2.4882285903884755e-05,COMPLETE
16,45.15577926635742,2026-02-25 07:19:52.008558,2026-02-25 07:21:25.662660,0 days 00:01:33.654102,32,0.365901308446383,0.00031985784568809767,2.2182795339463206e-05,COMPLETE
17,45.28708381652832,2026-02-25 07:21:25.727241,2026-02-25 07:23:42.769909,0 days 00:02:17.042668,32,0.20282357754133382,5.685640045165657e-05,3.1233564207781716e-06,COMPLETE
18,44.814599227905276,2026-02-25 07:23:42.838261,2026-02-25 07:25:38.961391,0 days 00:01:56.123130,16,0.24559141609063495,0.00016963500309123602,0.0009805327972098293,COMPLETE
19,44.655944442749025,2026-02-25 07:25:39.023241,2026-02-25 07:27:10.911491,0 days 00:01:31.888250,32,0.2891380448850693,0.00037445375943273096,4.161010935252593e-06,COMPLETE
