number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,42.368508911132814,2026-02-25 05:09:17.065566,2026-02-25 05:13:16.086875,0 days 00:03:59.021309,16,0.21981604031950666,2.9497556865552377e-05,1.1436688947248928e-05,COMPLETE
1,41.128024673461915,2026-02-25 05:13:16.149863,2026-02-25 05:15:52.022451,0 days 00:02:35.872588,16,0.38725391239473667,0.0007850373584803654,1.1034859010506387e-06,COMPLETE
2,41.85587387084961,2026-02-25 05:15:52.085185,2026-02-25 05:18:43.273373,0 days 00:02:51.188188,64,0.44887770579189373,0.00034142606058286515,5.2907507159683444e-06,COMPLETE
3,42.05837707519531,2026-02-25 05:18:43.387272,2026-02-25 05:24:05.666311,0 days 00:05:22.279039,64,0.3109508648678042,4.660513342501515e-05,0.0003623224506193159,COMPLETE
4,41.36446685791016,2026-02-25 05:24:05.754240,2026-02-25 05:28:40.066043,0 days 00:04:34.311803,64,0.20410669521638714,6.472719316037115e-05,0.0004016215423894381,COMPLETE
5,51.7694595336914,2026-02-25 05:28:40.168909,2026-02-25 05:31:53.765705,0 days 00:03:13.596796,32,0.3064683045803704,1.745312189865787e-05,5.233530103920733e-05,COMPLETE
6,43.06408424377442,2026-02-25 05:31:53.832870,2026-02-25 05:35:09.152544,0 days 00:03:15.319674,32,0.4644763415166686,6.0328435646072286e-05,1.0767730427182909e-05,COMPLETE
7,41.161302947998045,2026-02-25 05:35:09.206539,2026-02-25 05:37:04.282021,0 days 00:01:55.075482,32,0.437756758634059,0.0007234892003624455,2.6990250005917228e-06,COMPLETE
8,40.806192016601564,2026-02-25 05:37:04.335152,2026-02-25 05:38:34.041889,0 days 00:01:29.706737,32,0.3142490406828137,0.0007237187526258437,0.0001577900039306734,COMPLETE
9,61.31878433227539,2026-02-25 05:38:34.110210,2026-02-25 05:41:15.129926,0 days 00:02:41.019716,64,0.29054407158651246,1.1424022674458883e-05,9.56226190048999e-05,COMPLETE
10,41.482582092285156,2026-02-25 05:41:15.229378,2026-02-25 05:43:16.546811,0 days 00:02:01.317433,32,0.3735755049210732,0.000214165874227194,0.0009533691825639596,COMPLETE
11,41.10161018371582,2026-02-25 05:43:16.641307,2026-02-25 05:45:11.679450,0 days 00:01:55.038143,16,0.37420017051022486,0.0009103973057670489,1.1448322025883535e-06,COMPLETE
12,41.38257942199707,2026-02-25 05:45:11.743033,2026-02-25 05:47:24.707217,0 days 00:02:12.964184,16,0.3398641946801689,0.00021867430111106122,0.00013297059107517318,COMPLETE
13,40.59141311645508,2026-02-25 05:47:24.770419,2026-02-25 05:49:36.336450,0 days 00:02:11.566031,16,0.26631377191479266,0.0009209467531287315,2.9025104912337912e-05,COMPLETE
14,40.76578025817871,2026-02-25 05:49:36.397613,2026-02-25 05:51:14.569856,0 days 00:01:38.172243,32,0.2687006804339354,0.0005237910852194702,1.897982066314664e-05,COMPLETE
15,40.79165267944336,2026-02-25 05:51:14.637587,2026-02-25 05:53:35.141539,0 days 00:02:20.503952,16,0.2565884855955228,0.0003796545117869422,1.8079536166210816e-05,COMPLETE
16,41.08469581604004,2026-02-25 05:53:35.205680,2026-02-25 05:56:07.986295,0 days 00:02:32.780615,32,0.25648849452945827,0.00013727129934882967,3.08117535334262e-05,COMPLETE
17,41.007621383666994,2026-02-25 05:56:08.053821,2026-02-25 05:58:07.854579,0 days 00:01:59.800758,16,0.2554662833920369,0.0004129789946311885,3.578420532347435e-05,COMPLETE
18,40.53635673522949,2026-02-25 05:58:07.917913,2026-02-25 06:00:03.735868,0 days 00:01:55.817955,32,0.23406651920713778,0.0004956214321744061,6.0126827037546755e-06,COMPLETE
19,41.1508071899414,2026-02-25 06:00:03.801210,2026-02-25 06:02:48.214053,0 days 00:02:44.412843,16,0.227374788859449,0.00012730928911634703,5.956536327253913e-06,COMPLETE
