Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,37.28870391845703,0.7048797607421875,0.7049079,124,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_0.pt
1,34.3411979675293,0.7639786005020142,0.76491857,112,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_1.pt
2,37.90244674682617,0.7160471677780151,0.7161088,62,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_2.pt
3,38.54136657714844,0.7088131308555603,0.70949495,124,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_3.pt
4,37.83171081542969,0.7163821458816528,0.71671855,140,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_4.pt
5,36.364463806152344,0.7238017320632935,0.7239547,107,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_5.pt
6,38.48646545410156,0.7067946195602417,0.7067946,164,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_6.pt
7,37.10316848754883,0.7378261685371399,0.7379447,116,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_7.pt
8,35.46327209472656,0.7506310939788818,0.7508799,123,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_8.pt
9,35.771244049072266,0.7538952827453613,0.7539276,129,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts/general_best_MW_RDKit_60/general_best_fold_9.pt
