number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,44.48613662719727,2026-03-01 14:19:06.782334,2026-03-01 14:25:35.579346,0 days 00:06:28.797012,32,0.45085973289874015,2.355536844422019e-05,9.327198303275196e-06,COMPLETE
1,41.293117904663085,2026-03-01 14:25:35.668681,2026-03-01 14:30:22.836753,0 days 00:04:47.168072,16,0.25248457661423507,3.216456767684025e-05,0.0005810173872606354,COMPLETE
2,40.118478775024414,2026-03-01 14:30:22.892675,2026-03-01 14:34:17.522138,0 days 00:03:54.629463,16,0.32680608554657936,0.00042584794274949477,0.0004901401903370429,COMPLETE
3,40.90884132385254,2026-03-01 14:34:17.584608,2026-03-01 14:37:25.552701,0 days 00:03:07.968093,16,0.4111945285202697,0.00045817650960430404,8.872263806020185e-06,COMPLETE
4,42.660329055786136,2026-03-01 14:37:25.606019,2026-03-01 14:44:51.683939,0 days 00:07:26.077920,32,0.4245489445508708,3.100147079508782e-05,2.7494724667353907e-05,COMPLETE
5,43.50817031860352,2026-03-01 14:44:51.792815,2026-03-01 14:50:02.942395,0 days 00:05:11.149580,16,0.47409632232700905,3.235856700884075e-05,3.2058967029025165e-05,COMPLETE
6,41.2902214050293,2026-03-01 14:50:02.992811,2026-03-01 14:55:28.774275,0 days 00:05:25.781464,64,0.3986387981065394,9.499797794747934e-05,9.297736166793653e-05,COMPLETE
7,44.13982391357422,2026-03-01 14:55:28.863187,2026-03-01 15:01:49.129428,0 days 00:06:20.266241,32,0.4179083079442947,2.215794623233846e-05,0.00021688021688604943,COMPLETE
8,56.675741577148436,2026-03-01 15:01:49.215637,2026-03-01 15:05:35.819650,0 days 00:03:46.604013,64,0.48138151808700286,1.2620455140996394e-05,0.0002626052271803733,COMPLETE
9,42.68932914733887,2026-03-01 15:05:35.927550,2026-03-01 15:11:30.194801,0 days 00:05:54.267251,32,0.4928984476216986,7.119246506150239e-05,0.00039596314446350213,COMPLETE
10,39.56964683532715,2026-03-01 15:11:30.263799,2026-03-01 15:15:33.338994,0 days 00:04:03.075195,16,0.2931065675426358,0.0009371785403380375,1.717709992000236e-06,COMPLETE
11,39.4997802734375,2026-03-01 15:15:33.401735,2026-03-01 15:19:52.798384,0 days 00:04:19.396649,16,0.2950362354992769,0.0009989718790781152,1.028650545139706e-06,COMPLETE
12,39.68069610595703,2026-03-01 15:19:52.869727,2026-03-01 15:23:01.228344,0 days 00:03:08.358617,16,0.28981006417013677,0.000985638497062119,1.0552207218812823e-06,COMPLETE
13,39.26709518432617,2026-03-01 15:23:01.278671,2026-03-01 15:26:29.263504,0 days 00:03:27.984833,16,0.20217804612158868,0.0009302413108018121,1.2077660355363036e-06,COMPLETE
14,39.6353874206543,2026-03-01 15:26:29.315660,2026-03-01 15:30:37.146833,0 days 00:04:07.831173,16,0.22570170767604866,0.0002681489149299896,4.0018940226271825e-06,COMPLETE
15,39.70055236816406,2026-03-01 15:30:37.200072,2026-03-01 15:34:30.697217,0 days 00:03:53.497145,16,0.2057031532098428,0.00021791132717583872,2.732445647256373e-06,COMPLETE
16,40.00652847290039,2026-03-01 15:34:30.756866,2026-03-01 15:37:57.079154,0 days 00:03:26.322288,64,0.3580369732276008,0.000560522965924678,6.672861107227289e-06,COMPLETE
17,40.12599906921387,2026-03-01 15:37:57.166277,2026-03-01 15:42:27.348520,0 days 00:04:30.182243,16,0.2609331276568959,0.00017949045070502547,1.356813436105231e-06,COMPLETE
18,40.1137393951416,2026-03-01 15:42:27.416069,2026-03-01 15:46:28.816008,0 days 00:04:01.399939,16,0.35457069673717206,0.000667707122891626,2.7740719798988234e-06,COMPLETE
19,39.72162551879883,2026-03-01 15:46:28.882413,2026-03-01 15:51:03.736289,0 days 00:04:34.853876,64,0.3095852036734407,0.00030682370602634363,2.2050906433158093e-05,COMPLETE
