number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,43.93098907470703,2026-03-01 15:54:10.207618,2026-03-01 15:57:47.925277,0 days 00:03:37.717659,16,0.4292128622735893,0.00026765096286755687,3.293917815597478e-05,COMPLETE
1,42.73664894104004,2026-03-01 15:57:47.999730,2026-03-01 16:07:13.400950,0 days 00:09:25.401220,64,0.23225003458843427,0.00017723111829257297,2.6426846187856243e-05,COMPLETE
2,50.01672630310058,2026-03-01 16:07:13.510272,2026-03-01 16:12:58.089456,0 days 00:05:44.579184,16,0.3884001904350832,1.0734659520658117e-05,1.7202965400417293e-06,COMPLETE
3,43.895089340209964,2026-03-01 16:12:58.159163,2026-03-01 16:17:54.182168,0 days 00:04:56.023005,64,0.30653890779240056,5.040387623721816e-05,8.243696902493906e-06,COMPLETE
4,43.056278228759766,2026-03-01 16:17:54.254700,2026-03-01 16:20:39.821886,0 days 00:02:45.567186,16,0.3240091184648082,0.00040763742221150765,0.0005020378989779057,COMPLETE
5,43.346307373046876,2026-03-01 16:20:39.882438,2026-03-01 16:23:49.603554,0 days 00:03:09.721116,16,0.34959891792874476,0.00022920117053918602,1.7423034969699275e-06,COMPLETE
6,42.13443565368652,2026-03-01 16:23:49.653913,2026-03-01 16:26:53.347147,0 days 00:03:03.693234,32,0.22808415690751616,0.0008705873836104636,2.0105210610303514e-06,COMPLETE
7,43.27208366394043,2026-03-01 16:26:53.413055,2026-03-01 16:29:20.203157,0 days 00:02:26.790102,32,0.38010735775017584,0.0008662621248957675,3.0472789649881765e-06,COMPLETE
8,44.026241302490234,2026-03-01 16:29:20.303349,2026-03-01 16:32:03.712775,0 days 00:02:43.409426,16,0.37966901943080245,9.076141920249313e-05,0.0004403623258006606,COMPLETE
9,42.443695831298825,2026-03-01 16:32:03.769084,2026-03-01 16:34:42.979230,0 days 00:02:39.210146,64,0.2505379993162531,0.0005223801480753029,0.00032006454499615156,COMPLETE
10,43.89531135559082,2026-03-01 16:34:43.085118,2026-03-01 16:38:41.810451,0 days 00:03:58.725333,32,0.2753479274740393,4.013125372878122e-05,6.638986208879753e-05,COMPLETE
11,41.89546012878418,2026-03-01 16:38:41.869031,2026-03-01 16:41:22.092298,0 days 00:02:40.223267,32,0.2024211905290499,0.0009647563429324521,0.00020559426688503124,COMPLETE
12,41.84553413391113,2026-03-01 16:41:22.172540,2026-03-01 16:43:51.931310,0 days 00:02:29.758770,32,0.20164353197608195,0.0009625903440736329,0.0001249458522195325,COMPLETE
13,44.304809188842775,2026-03-01 16:43:52.030996,2026-03-01 16:46:24.676713,0 days 00:02:32.645717,32,0.4933156134658871,0.0005933522769178022,0.00015139381785687588,COMPLETE
14,42.782240295410155,2026-03-01 16:46:24.790829,2026-03-01 16:50:28.447666,0 days 00:04:03.656837,32,0.20426049048001016,0.00011947590355046903,0.0009951426101085068,COMPLETE
15,42.05515975952149,2026-03-01 16:50:28.545981,2026-03-01 16:53:39.404716,0 days 00:03:10.858735,32,0.20300416145582312,0.00039833704034507246,8.752278141964655e-05,COMPLETE
16,42.529008102416995,2026-03-01 16:53:39.494011,2026-03-01 16:55:59.753586,0 days 00:02:20.259575,32,0.2786170934687284,0.0009611928595129208,0.00016312820986056614,COMPLETE
17,45.847815322875974,2026-03-01 16:55:59.870503,2026-03-01 17:01:33.475663,0 days 00:05:33.605160,32,0.25215539590687264,1.5156078351990837e-05,1.3555484601022887e-05,COMPLETE
18,42.88375129699707,2026-03-01 17:01:33.571199,2026-03-01 17:05:05.234949,0 days 00:03:31.663750,32,0.2884938995341105,0.00029666671300124513,0.0001829621477732751,COMPLETE
19,44.44510383605957,2026-03-01 17:05:05.336591,2026-03-01 17:08:47.907263,0 days 00:03:42.570672,32,0.47835550249299985,0.0001460342950156912,6.598870849575651e-05,COMPLETE
