number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,38.585719680786134,2026-03-01 11:56:50.008757,2026-03-01 12:04:00.759902,0 days 00:07:10.751145,32,0.2390168774581911,0.00019085370730076217,0.00012346243685202777,COMPLETE
1,39.77735023498535,2026-03-01 12:04:00.858451,2026-03-01 12:19:21.740210,0 days 00:15:20.881759,64,0.23455326854379338,3.0736586173285345e-05,3.179185066357281e-06,COMPLETE
2,42.64622535705566,2026-03-01 12:19:21.846824,2026-03-01 12:27:32.182341,0 days 00:08:10.335517,64,0.4696650106957994,2.9236557477779515e-05,2.81136956774428e-06,COMPLETE
3,38.78813858032227,2026-03-01 12:27:32.289924,2026-03-01 12:33:10.994893,0 days 00:05:38.704969,32,0.32986225601047714,0.0003298102796882239,3.6584545124766093e-06,COMPLETE
4,43.179945373535155,2026-03-01 12:33:11.079680,2026-03-01 12:40:50.846863,0 days 00:07:39.767183,16,0.3052033618929655,1.2806689898149678e-05,6.235556073394212e-05,COMPLETE
5,40.2317138671875,2026-03-01 12:40:50.912343,2026-03-01 12:47:28.488005,0 days 00:06:37.575662,16,0.3609718701947508,3.820135680927223e-05,1.0984089579467619e-06,COMPLETE
6,38.888600540161136,2026-03-01 12:47:28.552190,2026-03-01 12:51:00.880427,0 days 00:03:32.328237,64,0.3763498610056818,0.0002928052062571535,5.677206813454157e-06,COMPLETE
7,39.542937469482425,2026-03-01 12:51:00.971943,2026-03-01 12:59:33.761480,0 days 00:08:32.789537,64,0.34023319468140756,4.542923675890028e-05,4.9460459604136795e-06,COMPLETE
8,53.87124252319336,2026-03-01 12:59:33.857150,2026-03-01 13:05:21.006668,0 days 00:05:47.149518,64,0.43334893421086684,1.169793577061954e-05,1.952646117931977e-06,COMPLETE
9,38.676988220214845,2026-03-01 13:05:21.116361,2026-03-01 13:09:48.792565,0 days 00:04:27.676204,32,0.32727123474314146,0.0008839515947055608,2.284601504586414e-06,COMPLETE
10,38.562500381469725,2026-03-01 13:09:48.880861,2026-03-01 13:15:40.792905,0 days 00:05:51.912044,32,0.20455945005064013,0.0001360286911582579,0.0006539967994820177,COMPLETE
11,38.55324440002441,2026-03-01 13:15:40.882060,2026-03-01 13:21:31.232750,0 days 00:05:50.350690,32,0.2011200376200665,0.0001414131221690392,0.0007016601831370654,COMPLETE
12,38.67311134338379,2026-03-01 13:21:31.325038,2026-03-01 13:28:24.221876,0 days 00:06:52.896838,32,0.2037953521598919,0.000114489683271394,0.0009764854045656765,COMPLETE
13,38.930903625488284,2026-03-01 13:28:24.323250,2026-03-01 13:35:06.332301,0 days 00:06:42.009051,32,0.2710433854746985,9.661290964149877e-05,0.0009941533976840053,COMPLETE
14,38.783027267456056,2026-03-01 13:35:06.444339,2026-03-01 13:41:45.171417,0 days 00:06:38.727078,32,0.21166769463344362,9.0145911561113e-05,0.00030969379675067736,COMPLETE
15,38.649696350097656,2026-03-01 13:41:45.272110,2026-03-01 13:45:33.086102,0 days 00:03:47.813992,32,0.27335410805877325,0.0006380392906261736,0.00030556532622341427,COMPLETE
16,38.74991340637207,2026-03-01 13:45:33.167952,2026-03-01 13:52:26.133025,0 days 00:06:52.965073,32,0.26912611101117445,0.00015309460671724252,1.8028215912388707e-05,COMPLETE
17,39.22822723388672,2026-03-01 13:52:26.228766,2026-03-01 13:59:20.437588,0 days 00:06:54.208822,16,0.2010830535720177,6.0313584643117884e-05,0.00034335829156216914,COMPLETE
18,39.155595779418945,2026-03-01 13:59:20.503535,2026-03-01 14:05:58.157613,0 days 00:06:37.654078,32,0.4181376231854036,0.00034483747734624296,1.8526447766517168e-05,COMPLETE
19,38.502678298950194,2026-03-01 14:05:58.261276,2026-03-01 14:12:26.089794,0 days 00:06:27.828518,32,0.23942766111304598,0.00019083864094777392,0.00014493847383236058,COMPLETE
