Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,36.546539306640625,0.703607976436615,0.70381045,170,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_0.pt
1,39.22304153442383,0.6862397789955139,0.68641555,162,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_1.pt
2,42.434844970703125,0.6372162699699402,0.6383506,104,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_2.pt
3,38.2967529296875,0.6970136165618896,0.6983466,117,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_3.pt
4,41.454383850097656,0.633983314037323,0.6341544,135,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_4.pt
5,39.67571258544922,0.6561086177825928,0.656247,127,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_5.pt
6,39.44358444213867,0.693198561668396,0.6964105,105,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_6.pt
7,40.77444839477539,0.6632459163665771,0.6644509,115,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_7.pt
8,38.853267669677734,0.7015640735626221,0.70181334,116,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_8.pt
9,36.23529052734375,0.7360182404518127,0.7360194,138,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_HighMW_RDKit_60(split)_MW(label)_60(threshold)/general_best_fold_9.pt
