Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,36.95846939086914,0.6969118714332581,0.6970285,243,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_0.pt
1,37.10457229614258,0.7225243449211121,0.72312975,289,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_1.pt
2,37.175724029541016,0.6962184906005859,0.69630086,355,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_2.pt
3,38.66984558105469,0.6890680193901062,0.68910253,278,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_3.pt
4,37.00199890136719,0.6916381120681763,0.69164747,272,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_4.pt
5,36.794979095458984,0.7145383358001709,0.71458775,294,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_5.pt
6,38.002357482910156,0.6927940845489502,0.6930802,286,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_6.pt
7,37.04118347167969,0.6909552812576294,0.6910292,306,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_7.pt
8,34.10177230834961,0.7336584329605103,0.73419595,287,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_8.pt
9,35.153934478759766,0.733128547668457,0.7335478,307,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW/artifacts_threshold/general_best_LowMW_RDKit_60(split)_MW(label)_80(threshold)/general_best_fold_9.pt
