Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,38.751346588134766,0.6711292266845703,0.6711555,134,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_0.pt
1,40.9549560546875,0.6496648788452148,0.6497605,170,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_1.pt
2,40.18817901611328,0.6456446051597595,0.6457956,154,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_2.pt
3,41.003501892089844,0.6390851736068726,0.639241,93,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_3.pt
4,37.362022399902344,0.6688770055770874,0.66939104,91,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_4.pt
5,40.515018463134766,0.6437188386917114,0.6438698,98,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_5.pt
6,36.43959045410156,0.7022789120674133,0.70264053,121,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_6.pt
7,38.1596565246582,0.6840288639068604,0.68409353,104,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_7.pt
8,40.75205993652344,0.6488360166549683,0.6488556,118,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_8.pt
9,39.93552780151367,0.6368399858474731,0.637329,75,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/MW_models/artifacts_CNN/CNN_best_LowMW_RDKit_60(split)_MW(label)_70(threshold)/general_best_fold_9.pt
