number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,50.937142562866214,2026-03-09 18:35:39.490557,2026-03-09 18:51:16.800991,0 days 00:15:37.310434,32,0.4351330685784329,2.3534857051871047e-05,0.000311332493092993,COMPLETE
1,45.62267723083496,2026-03-09 18:51:16.856472,2026-03-09 19:06:37.529845,0 days 00:15:20.673373,16,0.27881959404554946,0.0003973293893801482,1.5311943049559355e-05,COMPLETE
2,50.40652923583984,2026-03-09 19:06:37.584727,2026-03-09 19:29:52.245846,0 days 00:23:14.661119,16,0.2370791908887176,1.3753665446925628e-05,0.0001442732465936348,COMPLETE
3,47.89715461730957,2026-03-09 19:29:52.299967,2026-03-09 19:51:45.165758,0 days 00:21:52.865791,16,0.2258839335505615,5.68551970755004e-05,7.825728230648773e-06,COMPLETE
4,50.79093551635742,2026-03-09 19:51:45.220497,2026-03-09 20:09:52.931645,0 days 00:18:07.711148,32,0.4341628581537236,2.2262598265741687e-05,3.9547136085745055e-05,COMPLETE
5,50.59785346984863,2026-03-09 20:09:52.988122,2026-03-09 20:30:35.881827,0 days 00:20:42.893705,64,0.2289611528086795,2.051103179910767e-05,4.19639280775604e-06,COMPLETE
6,51.46927719116211,2026-03-09 20:30:35.937710,2026-03-09 20:50:45.240285,0 days 00:20:09.302575,32,0.3139727828957848,1.1704697782817404e-05,2.0408061890857463e-06,COMPLETE
7,46.79060516357422,2026-03-09 20:50:45.294347,2026-03-09 21:07:43.243986,0 days 00:16:57.949639,64,0.20146461662891668,0.00023193787439794406,0.0005748253809651166,COMPLETE
8,50.1897590637207,2026-03-09 21:07:43.300140,2026-03-09 21:28:40.661396,0 days 00:20:57.361256,16,0.46228774445032594,2.481985733338499e-05,3.3371040336258493e-06,COMPLETE
9,45.45567436218262,2026-03-09 21:28:40.718701,2026-03-09 21:40:28.467348,0 days 00:11:47.748647,32,0.34199999338301096,0.0008891138545238924,0.0003152040461978806,COMPLETE
