number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,44.940646743774415,2026-03-09 13:31:32.656913,2026-03-09 13:42:06.610956,0 days 00:10:33.954043,32,0.3690091495875735,0.0006112671142569386,1.7313714652061263e-06,COMPLETE
1,46.48110771179199,2026-03-09 13:42:06.665477,2026-03-09 13:58:53.743667,0 days 00:16:47.078190,64,0.24604132718288715,7.895864775202595e-05,0.0007866034331332618,COMPLETE
2,45.21011085510254,2026-03-09 13:58:53.800288,2026-03-09 14:07:01.184497,0 days 00:08:07.384209,32,0.38552363279644153,0.0006814250956115835,0.0008579651467393292,COMPLETE
3,47.4272876739502,2026-03-09 14:07:01.239667,2026-03-09 14:34:34.950287,0 days 00:27:33.710620,32,0.3275540719391088,2.0555912252760093e-05,2.3708349679042853e-06,COMPLETE
4,45.09351005554199,2026-03-09 14:34:35.002002,2026-03-09 14:47:50.529769,0 days 00:13:15.527767,16,0.4692545716789264,0.00029929398952903034,0.00010791041667513396,COMPLETE
5,44.41084518432617,2026-03-09 14:47:50.582542,2026-03-09 15:00:56.564263,0 days 00:13:05.981721,16,0.4744293543241538,0.0007696620262036246,7.562562951472516e-06,COMPLETE
6,46.26526565551758,2026-03-09 15:00:56.616057,2026-03-09 15:17:15.787537,0 days 00:16:19.171480,32,0.36314565529473763,8.021043818636274e-05,9.141014303322023e-05,COMPLETE
7,45.8828239440918,2026-03-09 15:17:15.840745,2026-03-09 15:29:43.111303,0 days 00:12:27.270558,64,0.26875843243229625,0.00022690051666506006,7.533336012200454e-06,COMPLETE
8,45.57359771728515,2026-03-09 15:29:43.164523,2026-03-09 15:42:50.417722,0 days 00:13:07.253199,16,0.4894926864497715,0.00025091933866207424,8.858082747901373e-05,COMPLETE
9,47.46670417785644,2026-03-09 15:42:50.470963,2026-03-09 16:06:15.409291,0 days 00:23:24.938328,64,0.343211818452119,3.3781700892029935e-05,5.129798786710154e-06,COMPLETE
