Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,36.820011138916016,0.71488356590271,0.714929,144,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_0.pt
1,35.82957458496094,0.7533074021339417,0.75331026,117,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_1.pt
2,37.607906341552734,0.7104219794273376,0.7105637,84,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_2.pt
3,33.879112243652344,0.7731459736824036,0.77314985,115,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_3.pt
4,39.67589569091797,0.683782696723938,0.68389106,116,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_4.pt
5,37.244873046875,0.7216856479644775,0.7218131,124,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_5.pt
6,36.85061264038086,0.731148362159729,0.7313335,122,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_6.pt
7,37.7707633972168,0.7120057940483093,0.71212804,96,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_7.pt
8,35.809814453125,0.7357317209243774,0.7357408,73,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_8.pt
9,35.6857795715332,0.7412428855895996,0.741338,128,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models/Ro5_best_fold_9.pt
