Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,35.7535285949707,0.719581127166748,0.72023207,94,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_0.pt
1,34.51569747924805,0.7593828439712524,0.759385,68,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_1.pt
2,35.65074157714844,0.7335227131843567,0.73352957,68,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_2.pt
3,39.60033416748047,0.7050429582595825,0.70531106,100,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_3.pt
4,34.60871505737305,0.7474926710128784,0.7484633,76,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_4.pt
5,37.189754486083984,0.7372894287109375,0.7373748,46,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_5.pt
6,36.562164306640625,0.731759250164032,0.73212624,84,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_6.pt
7,38.85862731933594,0.7135576009750366,0.7137941,120,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_7.pt
8,36.34937286376953,0.7479547262191772,0.74797404,75,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_8.pt
9,35.502986907958984,0.7530019283294678,0.75301945,58,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/Ro5_best_models_no_interaction_50/Ro5_best_fold_9.pt
