number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,57.929033279418945,2026-02-02 11:33:57.404738,2026-02-02 11:34:00.167232,0 days 00:00:02.762494,32,0.20480953122714005,0.00014063854695809243,1.242099622107798e-06,COMPLETE
1,58.651390075683594,2026-02-02 11:34:00.228688,2026-02-02 11:34:02.290374,0 days 00:00:02.061686,32,0.21763283182491222,5.352378075369102e-05,0.0004428396100283949,COMPLETE
2,54.99833030700684,2026-02-02 11:34:02.360417,2026-02-02 11:34:04.574876,0 days 00:00:02.214459,64,0.46896022527229736,7.313145162346762e-05,2.449752019374488e-05,COMPLETE
3,54.72445411682129,2026-02-02 11:34:04.656852,2026-02-02 11:34:07.130703,0 days 00:00:02.473851,64,0.4172101168271201,4.259249435052429e-05,0.0001099711688560446,COMPLETE
4,47.61222114562988,2026-02-02 11:34:07.218034,2026-02-02 11:34:19.028993,0 days 00:00:11.810959,16,0.2769807563832883,0.0003609422133864663,5.600586589625181e-06,COMPLETE
5,58.59107894897461,2026-02-02 11:34:19.090404,2026-02-02 11:34:21.188605,0 days 00:00:02.098201,32,0.20284365756719555,1.0974884081266037e-05,3.4586133241965733e-06,COMPLETE
6,54.76753616333008,2026-02-02 11:34:21.253940,2026-02-02 11:34:23.424285,0 days 00:00:02.170345,64,0.3806078754254609,0.00021285459395786432,4.2814067912189836e-05,COMPLETE
7,56.27319145202637,2026-02-02 11:34:23.523196,2026-02-02 11:34:33.176280,0 days 00:00:09.653084,16,0.4417771502122083,0.0001354046582204827,1.2958446318404308e-05,COMPLETE
8,54.19763679504395,2026-02-02 11:34:33.233647,2026-02-02 11:34:35.740429,0 days 00:00:02.506782,64,0.4965329006951873,0.0008031798193199768,6.5611766427698485e-06,COMPLETE
9,62.78369979858398,2026-02-02 11:34:35.822323,2026-02-02 11:34:40.484583,0 days 00:00:04.662260,16,0.20612541034506865,2.182550696522319e-05,0.0001971642864707106,COMPLETE
10,47.14360313415527,2026-02-02 11:34:40.547795,2026-02-02 11:34:50.776183,0 days 00:00:10.228388,16,0.30136292653299823,0.0005584527119514958,1.044810351853655e-06,COMPLETE
11,47.03233642578125,2026-02-02 11:34:50.835040,2026-02-02 11:35:00.100360,0 days 00:00:09.265320,16,0.2939789609870561,0.0005874687235390675,1.1685517407189745e-06,COMPLETE
12,46.32807960510254,2026-02-02 11:35:00.157080,2026-02-02 11:35:08.976902,0 days 00:00:08.819822,16,0.3039144530075713,0.0009364489305091467,1.1318639610919661e-06,COMPLETE
13,46.92441291809082,2026-02-02 11:35:09.040647,2026-02-02 11:35:18.176355,0 days 00:00:09.135708,16,0.3179191318035021,0.0009000555297296147,2.1672261006454107e-06,COMPLETE
14,47.74890365600586,2026-02-02 11:35:18.230682,2026-02-02 11:35:25.315276,0 days 00:00:07.084594,16,0.35422848462731343,0.0009490582125964063,3.1870179734435785e-06,COMPLETE
15,48.19162826538086,2026-02-02 11:35:25.378982,2026-02-02 11:35:38.277399,0 days 00:00:12.898417,16,0.2623431480815909,0.0003075362811678319,2.2653049755906523e-06,COMPLETE
16,47.926699829101565,2026-02-02 11:35:38.331981,2026-02-02 11:35:48.905138,0 days 00:00:10.573157,16,0.3261588202103531,0.00043786863582489567,1.0307801657673764e-05,COMPLETE
17,50.069295501708986,2026-02-02 11:35:48.976148,2026-02-02 11:36:02.091142,0 days 00:00:13.114994,16,0.3683995196188316,0.00021646922253221927,3.201777528310012e-05,COMPLETE
18,46.7679328918457,2026-02-02 11:36:02.147584,2026-02-02 11:36:09.681275,0 days 00:00:07.533691,16,0.2501328049466667,0.000994609325689326,2.349014288452408e-06,COMPLETE
19,57.50232696533203,2026-02-02 11:36:09.742740,2026-02-02 11:36:12.526187,0 days 00:00:02.783447,32,0.24710627449059108,0.0002508926429335451,9.502051277360507e-05,COMPLETE
