number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,56.13625030517578,2026-02-02 11:27:30.468359,2026-02-02 11:27:37.726680,0 days 00:00:07.258321,32,0.4056504739043934,0.00016157746168358406,2.978941343075916e-06,COMPLETE
1,54.445729446411136,2026-02-02 11:27:37.788120,2026-02-02 11:27:41.319889,0 days 00:00:03.531769,64,0.437996827467549,0.00010793230688320604,0.00059995376339259,COMPLETE
2,46.11953163146973,2026-02-02 11:27:41.412673,2026-02-02 11:27:53.824526,0 days 00:00:12.411853,32,0.4286646018712459,0.0003824735817467787,0.0001991281736368768,COMPLETE
3,54.997731399536136,2026-02-02 11:27:53.884821,2026-02-02 11:27:56.996070,0 days 00:00:03.111249,64,0.47258209898335607,1.2054574539048846e-05,0.0004993103128489286,COMPLETE
4,57.90454330444336,2026-02-02 11:27:57.086828,2026-02-02 11:28:11.663498,0 days 00:00:14.576670,16,0.23251168036340297,5.0769561385864134e-05,3.349860853001062e-05,COMPLETE
5,61.14154968261719,2026-02-02 11:28:11.719446,2026-02-02 11:28:20.850220,0 days 00:00:09.130774,16,0.49714990460879993,2.239512012878658e-05,6.146054760093228e-06,COMPLETE
6,52.66760673522949,2026-02-02 11:28:20.905488,2026-02-02 11:28:30.106899,0 days 00:00:09.201411,32,0.24924577195973024,0.00022105872819186143,2.8181981681829932e-05,COMPLETE
7,58.48586883544922,2026-02-02 11:28:30.170036,2026-02-02 11:28:33.641557,0 days 00:00:03.471521,32,0.29041263553940094,4.243855140933265e-05,1.0065365054139202e-06,COMPLETE
8,44.95439472198486,2026-02-02 11:28:33.710005,2026-02-02 11:28:53.328409,0 days 00:00:19.618404,16,0.41853969764505405,0.00021883920291545226,2.5233027220846224e-06,COMPLETE
9,42.906761741638185,2026-02-02 11:28:53.389700,2026-02-02 11:29:07.160266,0 days 00:00:13.770566,16,0.40252063432765206,0.0005654231321819462,2.38599846880559e-05,COMPLETE
10,42.861697578430174,2026-02-02 11:29:07.220484,2026-02-02 11:29:17.769899,0 days 00:00:10.549415,16,0.3563340028282294,0.0009486077673672874,4.3261954168860756e-05,COMPLETE
11,42.256737327575685,2026-02-02 11:29:17.830065,2026-02-02 11:29:28.505746,0 days 00:00:10.675681,16,0.33649082140342756,0.0008962869801534851,3.9524355656029234e-05,COMPLETE
12,43.05717868804932,2026-02-02 11:29:28.566987,2026-02-02 11:29:37.720595,0 days 00:00:09.153608,16,0.3403591703887353,0.0009968010170336224,7.206577520107152e-05,COMPLETE
13,41.86210613250732,2026-02-02 11:29:37.778541,2026-02-02 11:29:49.774186,0 days 00:00:11.995645,16,0.3361295973831194,0.0008391407174139767,0.00010108606474819895,COMPLETE
14,42.28821773529053,2026-02-02 11:29:49.830986,2026-02-02 11:30:03.871850,0 days 00:00:14.040864,16,0.32003701593206724,0.0004668512996729417,0.00013786860979172685,COMPLETE
15,43.142288780212404,2026-02-02 11:30:03.931781,2026-02-02 11:30:19.893046,0 days 00:00:15.961265,16,0.28854060937033427,0.00035828833795753144,1.3786705499446731e-05,COMPLETE
16,51.13615531921387,2026-02-02 11:30:19.949176,2026-02-02 11:30:25.754120,0 days 00:00:05.804944,64,0.3738898205702214,0.000706443734048551,0.00018669127742872637,COMPLETE
17,54.295793533325195,2026-02-02 11:30:25.827207,2026-02-02 11:30:42.761477,0 days 00:00:16.934270,16,0.20097946413544412,6.87292435243158e-05,7.561295717166942e-05,COMPLETE
18,43.57779521942139,2026-02-02 11:30:42.818987,2026-02-02 11:31:01.096007,0 days 00:00:18.277020,16,0.3111262104782129,0.00030117306777428224,1.154544429575133e-05,COMPLETE
19,54.40243263244629,2026-02-02 11:31:01.151249,2026-02-02 11:31:04.564848,0 days 00:00:03.413599,64,0.3648651644261922,0.00012048195594975863,0.0003001298474925905,COMPLETE
