number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,46.02029533386231,2026-02-09 21:48:50.428334,2026-02-09 21:48:55.294547,0 days 00:00:04.866213,32,0.20509723092012022,0.0009628679838622033,1.137981512568195e-06,COMPLETE
1,58.39817886352539,2026-02-09 21:48:55.346983,2026-02-09 21:48:58.619710,0 days 00:00:03.272727,16,0.20406955614678537,6.245998651244242e-05,8.648605482155422e-05,COMPLETE
2,51.83123092651367,2026-02-09 21:48:58.677715,2026-02-09 21:49:00.649434,0 days 00:00:01.971719,32,0.3417408275188495,0.0004504525962223127,1.291813766825645e-06,COMPLETE
3,51.775153732299806,2026-02-09 21:49:00.706700,2026-02-09 21:49:13.287750,0 days 00:00:12.581050,16,0.21545747306985094,0.00025039786600622677,1.1006873495521895e-06,COMPLETE
4,47.094336891174315,2026-02-09 21:49:13.342031,2026-02-09 21:49:14.550413,0 days 00:00:01.208382,64,0.4811269595451082,1.9833257428810153e-05,0.0001017392665191896,COMPLETE
5,46.68441734313965,2026-02-09 21:49:14.607638,2026-02-09 21:49:15.807711,0 days 00:00:01.200073,64,0.31534755887171106,4.263156982764238e-05,7.202503701620223e-05,COMPLETE
6,59.063533020019534,2026-02-09 21:49:15.868480,2026-02-09 21:49:19.199302,0 days 00:00:03.330822,16,0.48907712540225756,1.668938896302694e-05,8.8234859712107e-06,COMPLETE
7,58.349477005004886,2026-02-09 21:49:19.253798,2026-02-09 21:49:22.495308,0 days 00:00:03.241510,16,0.3215920428708248,6.1012588576967646e-05,1.0194793535797962e-05,COMPLETE
8,52.16580448150635,2026-02-09 21:49:22.549796,2026-02-09 21:49:24.495309,0 days 00:00:01.945513,32,0.46989159481360787,0.0006160904931923352,1.8536094359822583e-06,COMPLETE
9,58.02331657409668,2026-02-09 21:49:24.549968,2026-02-09 21:49:30.037298,0 days 00:00:05.487330,16,0.24309896513901097,0.00011264714457290045,3.2063937417013356e-06,COMPLETE
10,47.55044097900391,2026-02-09 21:49:30.091915,2026-02-09 21:49:35.155752,0 days 00:00:05.063837,32,0.3995351640076677,0.0009935466952743467,0.0009561443802302474,COMPLETE
11,46.68448143005371,2026-02-09 21:49:35.209431,2026-02-09 21:49:36.435438,0 days 00:00:01.226007,64,0.28695306721854286,4.056263358207213e-05,5.650210489966848e-05,COMPLETE
12,46.646649551391604,2026-02-09 21:49:36.494005,2026-02-09 21:49:37.713308,0 days 00:00:01.219303,64,0.40559442397958256,0.00010294970598974811,0.00031985970130192265,COMPLETE
13,51.980831909179685,2026-02-09 21:49:37.772584,2026-02-09 21:49:39.828507,0 days 00:00:02.055923,32,0.3965064258438273,0.00020049348267156254,0.0004135699021039039,COMPLETE
14,46.979601287841795,2026-02-09 21:49:39.884579,2026-02-09 21:49:41.103894,0 days 00:00:01.219315,64,0.4023246615973469,1.013658908194261e-05,0.0002026362672855499,COMPLETE
15,51.654382133483885,2026-02-09 21:49:41.162385,2026-02-09 21:49:43.158777,0 days 00:00:01.996392,32,0.44100452153656156,0.00018480491100304947,1.969624466064355e-05,COMPLETE
16,46.774542045593265,2026-02-09 21:49:43.213768,2026-02-09 21:49:44.439297,0 days 00:00:01.225529,64,0.2673908589204114,0.00045317595226361556,4.363422873650024e-06,COMPLETE
17,51.884476280212404,2026-02-09 21:49:44.497633,2026-02-09 21:49:46.495971,0 days 00:00:01.998338,32,0.3639064365956418,0.00012093403964747736,2.728353243154627e-05,COMPLETE
18,47.22681655883789,2026-02-09 21:49:46.551396,2026-02-09 21:49:47.783783,0 days 00:00:01.232387,64,0.4242921572664685,0.0003324551450715378,0.0002861992725405254,COMPLETE
19,49.400322151184085,2026-02-09 21:49:47.843096,2026-02-09 21:49:51.787938,0 days 00:00:03.944842,32,0.3700182863706169,0.0007687631146742076,0.0008623080887412681,COMPLETE
