number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,58.22902908325195,2026-02-09 21:49:56.449409,2026-02-09 21:49:59.415615,0 days 00:00:02.966206,16,0.4616789044058852,0.00013421854846150204,0.00031356230564360643,COMPLETE
1,47.871954917907715,2026-02-09 21:49:59.470140,2026-02-09 21:50:10.198763,0 days 00:00:10.728623,16,0.258377283356505,0.0004910362867422751,5.690150531897369e-06,COMPLETE
2,52.17275276184082,2026-02-09 21:50:10.254895,2026-02-09 21:50:11.811033,0 days 00:00:01.556138,32,0.42435224978922287,8.315873671188867e-05,8.268841294999175e-05,COMPLETE
3,56.111890411376955,2026-02-09 21:50:11.870253,2026-02-09 21:50:17.336265,0 days 00:00:05.466012,16,0.2451905126853373,0.0001756124062747045,2.230472485985352e-05,COMPLETE
4,51.98536968231201,2026-02-09 21:50:17.395204,2026-02-09 21:50:18.996583,0 days 00:00:01.601379,32,0.3416266124912217,0.00015189537054712197,0.0005851436178020901,COMPLETE
5,59.15126266479492,2026-02-09 21:50:19.056335,2026-02-09 21:50:21.772390,0 days 00:00:02.716055,16,0.3500329658102525,1.5677211955948502e-05,0.0003420594147603651,COMPLETE
6,51.6081621170044,2026-02-09 21:50:21.831311,2026-02-09 21:50:23.438807,0 days 00:00:01.607496,32,0.33575063951895107,0.0005153166649120363,0.0002046812811907716,COMPLETE
7,52.202603340148926,2026-02-09 21:50:23.497891,2026-02-09 21:50:25.145976,0 days 00:00:01.648085,32,0.4297657535925037,1.61960844590291e-05,0.0006231132326463202,COMPLETE
8,46.789859771728516,2026-02-09 21:50:25.207601,2026-02-09 21:50:26.396642,0 days 00:00:01.189041,64,0.23053811566498053,0.0004604405113508402,4.1647653263909556e-05,COMPLETE
9,46.7341968536377,2026-02-09 21:50:26.459252,2026-02-09 21:50:27.583948,0 days 00:00:01.124696,64,0.26367934748574634,5.327119587839548e-05,2.521769747345151e-05,COMPLETE
10,46.48822135925293,2026-02-09 21:50:27.649289,2026-02-09 21:50:28.832018,0 days 00:00:01.182729,64,0.20058952180402873,3.9339113330737946e-05,1.598817723319727e-06,COMPLETE
11,46.843980407714845,2026-02-09 21:50:28.898449,2026-02-09 21:50:30.025665,0 days 00:00:01.127216,64,0.20458193063715605,4.456758914131068e-05,1.4817996038760014e-06,COMPLETE
12,46.53207588195801,2026-02-09 21:50:30.094028,2026-02-09 21:50:31.260500,0 days 00:00:01.166472,64,0.28884467777690614,4.1512355482048825e-05,1.09214902438195e-06,COMPLETE
13,46.714207077026366,2026-02-09 21:50:31.327947,2026-02-09 21:50:32.442678,0 days 00:00:01.114731,64,0.29329390119076737,3.323678015788805e-05,1.0797966763712893e-06,COMPLETE
14,46.6768684387207,2026-02-09 21:50:32.505824,2026-02-09 21:50:33.630563,0 days 00:00:01.124739,64,0.3023343654901051,2.576230182424054e-05,3.624995624034397e-06,COMPLETE
15,46.759897994995114,2026-02-09 21:50:33.733023,2026-02-09 21:50:34.864736,0 days 00:00:01.131713,64,0.20284103957393818,6.890012698907764e-05,5.666793599654902e-06,COMPLETE
16,46.837959098815915,2026-02-09 21:50:34.926861,2026-02-09 21:50:36.111149,0 days 00:00:01.184288,64,0.38012540197809025,1.0058063206517361e-05,2.6817770372861226e-06,COMPLETE
17,46.85515460968018,2026-02-09 21:50:36.174969,2026-02-09 21:50:37.314012,0 days 00:00:01.139043,64,0.2970769397093145,2.6135392516411497e-05,1.097145071565124e-05,COMPLETE
18,46.63879947662353,2026-02-09 21:50:37.376868,2026-02-09 21:50:38.540855,0 days 00:00:01.163987,64,0.3851003814257453,0.0002608908024745598,1.9050053575030398e-06,COMPLETE
19,47.37855472564697,2026-02-09 21:50:38.605370,2026-02-09 21:50:39.716085,0 days 00:00:01.110715,64,0.49531253088309535,4.130690978904423e-05,1.0020172157795665e-06,COMPLETE
