number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,51.56119804382324,2026-02-09 21:46:21.711105,2026-02-09 21:46:24.629110,0 days 00:00:02.918005,32,0.20927726499447136,1.894480481281034e-05,1.0704051988086485e-06,COMPLETE
1,51.99355602264404,2026-02-09 21:46:24.687016,2026-02-09 21:46:27.065780,0 days 00:00:02.378764,32,0.41373029997146277,0.00014287013629684232,1.5006490811422114e-05,COMPLETE
2,47.850283813476565,2026-02-09 21:46:27.122578,2026-02-09 21:46:44.313704,0 days 00:00:17.191126,16,0.47638070405836286,0.0002429090067936898,2.43348536489462e-06,COMPLETE
3,51.7971004486084,2026-02-09 21:46:44.371586,2026-02-09 21:46:46.915622,0 days 00:00:02.544036,32,0.23747221510921304,2.9953096058441237e-05,4.371485984321336e-05,COMPLETE
4,51.64425106048584,2026-02-09 21:46:46.974106,2026-02-09 21:46:49.516897,0 days 00:00:02.542791,32,0.2698592319338135,1.261234597830995e-05,1.993126375126994e-05,COMPLETE
5,46.82189826965332,2026-02-09 21:46:49.576244,2026-02-09 21:46:51.177714,0 days 00:00:01.601470,64,0.3877667045901865,0.0001330351220546513,1.2382057942911112e-05,COMPLETE
6,56.5627555847168,2026-02-09 21:46:51.244284,2026-02-09 21:47:00.449569,0 days 00:00:09.205285,16,0.30573566129081664,7.987806668174358e-05,0.00010258191382368638,COMPLETE
7,44.73329963684082,2026-02-09 21:47:00.504624,2026-02-09 21:47:12.103167,0 days 00:00:11.598543,16,0.24953527439378545,0.00040485907437153414,4.0623972385258766e-05,COMPLETE
8,51.954812622070314,2026-02-09 21:47:12.160386,2026-02-09 21:47:14.593941,0 days 00:00:02.433555,32,0.47404465640927684,0.00017714202378051676,4.771692150456737e-06,COMPLETE
9,46.97852725982666,2026-02-09 21:47:14.694382,2026-02-09 21:47:28.748746,0 days 00:00:14.054364,16,0.2751329791685101,0.00029301698581253924,0.0007463871815018052,COMPLETE
10,46.5831974029541,2026-02-09 21:47:28.810102,2026-02-09 21:47:31.383625,0 days 00:00:02.573523,64,0.3345424071094971,0.0009854198383893093,0.00020944774842521018,COMPLETE
11,47.46163749694824,2026-02-09 21:47:31.450284,2026-02-09 21:47:32.940980,0 days 00:00:01.490696,64,0.33096602500249916,0.000870828231790127,0.0002528862583693806,COMPLETE
12,47.14609642028809,2026-02-09 21:47:33.000187,2026-02-09 21:47:34.472931,0 days 00:00:01.472744,64,0.3553869675023179,0.0008388253605075965,0.00012557357172114447,COMPLETE
13,46.736319351196286,2026-02-09 21:47:34.533480,2026-02-09 21:47:36.072460,0 days 00:00:01.538980,64,0.28358472762223297,0.0004984378328791635,0.0003224317216102513,COMPLETE
14,44.90889301300049,2026-02-09 21:47:36.136096,2026-02-09 21:47:48.801842,0 days 00:00:12.665746,16,0.21129090938271114,0.000375192245000101,5.229259241675497e-05,COMPLETE
15,56.002297973632814,2026-02-09 21:47:48.859847,2026-02-09 21:47:59.432444,0 days 00:00:10.572597,16,0.20114429183008592,6.650015017734181e-05,5.420516784721781e-05,COMPLETE
16,44.137620544433595,2026-02-09 21:47:59.491726,2026-02-09 21:48:10.755620,0 days 00:00:11.263894,16,0.23141264074960805,0.0004408716160521325,5.152851369559039e-05,COMPLETE
17,44.838097381591794,2026-02-09 21:48:10.810648,2026-02-09 21:48:22.261180,0 days 00:00:11.450532,16,0.2395342367161438,0.0004983306484879774,6.208544095871377e-06,COMPLETE
18,58.22929725646973,2026-02-09 21:48:22.316539,2026-02-09 21:48:28.298763,0 days 00:00:05.982224,16,0.24596325283265072,4.789653100069178e-05,3.02194488602598e-05,COMPLETE
19,44.39885482788086,2026-02-09 21:48:28.353778,2026-02-09 21:48:38.819310,0 days 00:00:10.465532,16,0.30727646408606535,0.0005424463163436833,0.0006238483371172624,COMPLETE
