number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,62.12038116455078,2026-02-11 08:57:58.395295,2026-02-11 08:58:02.415469,0 days 00:00:04.020174,16,0.45994871688383226,0.0003879577752732494,0.00010703234271791926,COMPLETE
1,54.280130004882814,2026-02-11 08:58:02.492735,2026-02-11 08:58:03.592285,0 days 00:00:01.099550,64,0.3174643404295551,0.000405886975411867,2.7646589513850458e-06,COMPLETE
2,58.153890228271486,2026-02-11 08:58:03.670520,2026-02-11 08:58:05.346027,0 days 00:00:01.675507,32,0.2861450616172131,0.0002550400546964675,0.0001574705593977657,COMPLETE
3,58.33238067626953,2026-02-11 08:58:05.418336,2026-02-11 08:58:07.413422,0 days 00:00:01.995086,32,0.20021162185102287,4.527438297877075e-05,9.15797772694737e-05,COMPLETE
4,54.139346313476565,2026-02-11 08:58:07.485765,2026-02-11 08:58:08.621875,0 days 00:00:01.136110,64,0.3684830028390797,2.13754156051119e-05,0.0006040738388078331,COMPLETE
5,65.87577362060547,2026-02-11 08:58:08.700049,2026-02-11 08:58:11.260541,0 days 00:00:02.560492,16,0.4827879977882079,4.84083912998774e-05,0.0002957781670154298,COMPLETE
6,61.156241226196286,2026-02-11 08:58:11.334575,2026-02-11 08:58:16.725260,0 days 00:00:05.390685,16,0.4319724187416864,0.00037605421635952704,0.00018769891905313013,COMPLETE
7,54.16864280700683,2026-02-11 08:58:16.796438,2026-02-11 08:58:17.825702,0 days 00:00:01.029264,64,0.4237083709842976,3.60697577364605e-05,1.2622864520672427e-05,COMPLETE
8,58.290880584716795,2026-02-11 08:58:17.902153,2026-02-11 08:58:19.540463,0 days 00:00:01.638310,32,0.2519630827113183,0.00041050226168921834,0.00048790259122940546,COMPLETE
9,65.5755500793457,2026-02-11 08:58:19.612722,2026-02-11 08:58:22.178047,0 days 00:00:02.565325,16,0.434997032821729,6.288947413480283e-05,2.260917957494559e-05,COMPLETE
10,54.406612396240234,2026-02-11 08:58:22.257251,2026-02-11 08:58:23.269355,0 days 00:00:01.012104,64,0.37042447510326854,1.2861197127393528e-05,0.0009426796238730111,COMPLETE
11,54.484622192382815,2026-02-11 08:58:23.347221,2026-02-11 08:58:24.481536,0 days 00:00:01.134315,64,0.37949957465788087,1.5586880676990992e-05,1.096100517132377e-05,COMPLETE
12,54.14186515808105,2026-02-11 08:58:24.560408,2026-02-11 08:58:25.493087,0 days 00:00:00.932679,64,0.3851705077585383,2.261851290258636e-05,4.0933364238221835e-06,COMPLETE
13,54.37310562133789,2026-02-11 08:58:25.572637,2026-02-11 08:58:26.605970,0 days 00:00:01.033333,64,0.34310707500766613,2.4224594520183647e-05,1.3312396725058802e-06,COMPLETE
14,54.258966064453126,2026-02-11 08:58:26.683442,2026-02-11 08:58:27.755813,0 days 00:00:01.072371,64,0.38548297198549797,0.00011937232722938182,4.495675876134242e-06,COMPLETE
15,54.70024032592774,2026-02-11 08:58:27.832915,2026-02-11 08:58:28.764613,0 days 00:00:00.931698,64,0.32887287127008225,0.0009199694651650013,4.41648141419844e-05,COMPLETE
16,54.29338455200195,2026-02-11 08:58:28.843803,2026-02-11 08:58:29.840332,0 days 00:00:00.996529,64,0.4040946142594611,1.0141871180208414e-05,1.1015765331222659e-06,COMPLETE
17,54.401737976074216,2026-02-11 08:58:29.919199,2026-02-11 08:58:31.119945,0 days 00:00:01.200746,64,0.2884706840673489,2.4127132546318215e-05,5.3895360022458875e-06,COMPLETE
18,54.50325355529785,2026-02-11 08:58:31.198440,2026-02-11 08:58:32.113187,0 days 00:00:00.914747,64,0.3624905074730865,9.618185476254284e-05,3.7550537653949144e-05,COMPLETE
19,58.75119171142578,2026-02-11 08:58:32.191341,2026-02-11 08:58:33.761328,0 days 00:00:01.569987,32,0.49357162612584105,2.4072057409545395e-05,0.0009669305130663658,COMPLETE
