number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,57.812123489379886,2026-02-11 08:58:34.963801,2026-02-11 08:58:36.457191,0 days 00:00:01.493390,32,0.2324347551961858,0.000132157456267454,2.4317267478305006e-05,COMPLETE
1,58.512041091918945,2026-02-11 08:58:36.530335,2026-02-11 08:58:37.937330,0 days 00:00:01.406995,32,0.4662070130224044,0.00041640778045901495,4.562871877229825e-06,COMPLETE
2,63.13419456481934,2026-02-11 08:58:38.011048,2026-02-11 08:58:41.365309,0 days 00:00:03.354261,16,0.24074948382725997,0.0003360007868208385,3.1912080070504797e-06,COMPLETE
3,57.55830841064453,2026-02-11 08:58:41.437176,2026-02-11 08:58:45.940234,0 days 00:00:04.503058,16,0.3258238367003098,0.0009346932012579379,1.691281293502937e-06,COMPLETE
4,54.192610549926755,2026-02-11 08:58:46.012222,2026-02-11 08:58:47.006125,0 days 00:00:00.993903,64,0.2579320323926326,3.064971730062e-05,1.6476679063129827e-06,COMPLETE
5,60.69120140075684,2026-02-11 08:58:47.084884,2026-02-11 08:58:50.954970,0 days 00:00:03.870086,16,0.3297348907531683,0.0006695682643524946,1.8907740076369538e-06,COMPLETE
6,65.1329833984375,2026-02-11 08:58:51.028526,2026-02-11 08:58:52.930863,0 days 00:00:01.902337,16,0.24270513409374858,5.505901362678302e-05,0.000698911473719343,COMPLETE
7,54.32823371887207,2026-02-11 08:58:53.002085,2026-02-11 08:58:53.922788,0 days 00:00:00.920703,64,0.34232610843164585,3.7482376535788034e-05,6.1140171258267275e-06,COMPLETE
8,58.398907852172854,2026-02-11 08:58:54.000085,2026-02-11 08:58:57.918753,0 days 00:00:03.918668,16,0.201689757297927,0.0009063310544824395,0.00022010467481039446,COMPLETE
9,54.437720108032224,2026-02-11 08:58:57.992525,2026-02-11 08:58:58.829630,0 days 00:00:00.837105,64,0.3631593900397658,0.0002469074449275671,0.00017969844247281777,COMPLETE
10,54.368922805786134,2026-02-11 08:58:58.907405,2026-02-11 08:58:59.801538,0 days 00:00:00.894133,64,0.41254515336523545,1.3171963376064223e-05,2.038907015688029e-05,COMPLETE
11,54.558529663085935,2026-02-11 08:58:59.880071,2026-02-11 08:59:00.676970,0 days 00:00:00.796899,64,0.28027504912145174,3.4154437707272546e-05,7.200808634776809e-06,COMPLETE
12,54.238629531860354,2026-02-11 08:59:00.757980,2026-02-11 08:59:01.651205,0 days 00:00:00.893225,64,0.37885636731444294,1.880476469381586e-05,1.1523693275474998e-05,COMPLETE
13,54.47346954345703,2026-02-11 08:59:01.729485,2026-02-11 08:59:02.532329,0 days 00:00:00.802844,64,0.41303483954403525,1.0320523917098927e-05,6.172982224251731e-05,COMPLETE
14,54.49579772949219,2026-02-11 08:59:02.610187,2026-02-11 08:59:03.390783,0 days 00:00:00.780596,64,0.3927598641143101,2.217400808247925e-05,1.2996100734833466e-05,COMPLETE
15,54.62830429077148,2026-02-11 08:59:03.468193,2026-02-11 08:59:04.403317,0 days 00:00:00.935124,64,0.29731267666034683,6.853747771493624e-05,1.0578486359896718e-06,COMPLETE
16,54.42038345336914,2026-02-11 08:59:04.482266,2026-02-11 08:59:05.419948,0 days 00:00:00.937682,64,0.4766412636533657,1.8899604528523753e-05,1.273163765678024e-05,COMPLETE
17,58.17024192810059,2026-02-11 08:59:05.498812,2026-02-11 08:59:06.990932,0 days 00:00:01.492120,32,0.2867075067848158,0.00011182649590054785,3.2356263853050235e-05,COMPLETE
18,54.30655860900879,2026-02-11 08:59:07.064167,2026-02-11 08:59:07.858925,0 days 00:00:00.794758,64,0.37910643738825606,2.3842380831869312e-05,6.672871573374067e-05,COMPLETE
19,54.41269035339356,2026-02-11 08:59:07.935996,2026-02-11 08:59:08.825965,0 days 00:00:00.889969,64,0.49956249624669413,5.6981380246877885e-05,2.631617701987409e-06,COMPLETE
