number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,61.01100845336914,2026-02-11 08:56:14.148546,2026-02-11 08:56:20.004331,0 days 00:00:05.855785,16,0.3574487778414854,0.00020439906846027946,0.00020478952895380486,COMPLETE
1,65.18903312683105,2026-02-11 08:56:20.078065,2026-02-11 08:56:23.060527,0 days 00:00:02.982462,16,0.34269185775105815,3.532436801967938e-05,2.017458725373201e-05,COMPLETE
2,53.918610382080075,2026-02-11 08:56:23.132722,2026-02-11 08:56:24.711566,0 days 00:00:01.578844,64,0.2907729148231962,4.488948897573751e-05,6.8654141462788685e-06,COMPLETE
3,53.53328247070313,2026-02-11 08:56:24.787565,2026-02-11 08:56:26.312790,0 days 00:00:01.525225,64,0.4527381174616393,0.00011893107636818833,1.377648205477286e-06,COMPLETE
4,52.418566131591795,2026-02-11 08:56:26.392039,2026-02-11 08:56:34.470188,0 days 00:00:08.078149,16,0.30824223116671695,0.0005494076449852307,4.606629009722351e-05,COMPLETE
5,53.37878646850586,2026-02-11 08:56:34.541738,2026-02-11 08:56:35.719596,0 days 00:00:01.177858,64,0.43352797608027926,0.0004684193583544634,4.425310291032246e-05,COMPLETE
6,53.973165130615236,2026-02-11 08:56:35.799990,2026-02-11 08:56:37.064091,0 days 00:00:01.264101,64,0.25808384150097685,0.00013475193500120505,1.1701634570316563e-05,COMPLETE
7,54.01207237243652,2026-02-11 08:56:37.141186,2026-02-11 08:56:38.578037,0 days 00:00:01.436851,64,0.2085653079052173,9.711023932612575e-05,5.195974624214564e-06,COMPLETE
8,58.24597282409668,2026-02-11 08:56:38.656642,2026-02-11 08:56:41.011163,0 days 00:00:02.354521,32,0.2730697847864966,1.178413963823535e-05,0.00013876096372950755,COMPLETE
9,54.52957534790039,2026-02-11 08:56:41.082457,2026-02-11 08:56:42.350634,0 days 00:00:01.268177,64,0.3964384851951769,1.6920972287765772e-05,4.711081257499955e-06,COMPLETE
10,51.26580047607422,2026-02-11 08:56:42.427993,2026-02-11 08:56:51.822101,0 days 00:00:09.394108,16,0.3360913441094821,0.0006839324889121223,0.0004966722379190923,COMPLETE
11,48.396400451660156,2026-02-11 08:56:51.895292,2026-02-11 08:57:00.906010,0 days 00:00:09.010718,16,0.32566416033778345,0.0009627537794837015,0.000805525679287793,COMPLETE
12,50.73084716796875,2026-02-11 08:57:00.978220,2026-02-11 08:57:09.206099,0 days 00:00:08.227879,16,0.36826710738404905,0.0007269725826107417,0.0009381207844883602,COMPLETE
13,49.96792106628418,2026-02-11 08:57:09.278176,2026-02-11 08:57:18.509953,0 days 00:00:09.231777,16,0.48887860778866515,0.0008197982351881065,0.0009128454241714762,COMPLETE
14,57.95143089294434,2026-02-11 08:57:18.581214,2026-02-11 08:57:20.598398,0 days 00:00:02.017184,32,0.4766304135909855,0.00024734422937507,0.00023659767066008876,COMPLETE
15,49.38336944580078,2026-02-11 08:57:20.670389,2026-02-11 08:57:28.857265,0 days 00:00:08.186876,16,0.4099998334399654,0.0008937023076690976,0.0009366291883363423,COMPLETE
16,56.95061073303223,2026-02-11 08:57:28.929174,2026-02-11 08:57:34.412758,0 days 00:00:05.483584,16,0.40768928835633056,0.00034433795701872805,9.285567431222962e-05,COMPLETE
17,57.57342643737793,2026-02-11 08:57:34.485292,2026-02-11 08:57:36.406167,0 days 00:00:01.920875,32,0.3906313215545235,0.00035747708421113604,0.00036233072710787376,COMPLETE
18,48.60348396301269,2026-02-11 08:57:36.479144,2026-02-11 08:57:43.805040,0 days 00:00:07.325896,16,0.21995831927976722,0.000958582004662271,8.033668814350329e-05,COMPLETE
19,63.72322998046875,2026-02-11 08:57:43.878815,2026-02-11 08:57:49.731526,0 days 00:00:05.852711,16,0.2088377126039652,5.753406850726543e-05,8.606760874917516e-05,COMPLETE
