number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,52.55535545349121,2026-02-23 08:46:11.450580,2026-02-23 08:46:28.924955,0 days 00:00:17.474375,32,0.42809001562111426,1.0872535135043381e-05,1.3067194691778238e-05,COMPLETE
1,49.58130035400391,2026-02-23 08:46:28.990678,2026-02-23 08:47:11.995230,0 days 00:00:43.004552,16,0.36950621876087336,1.7625636953723857e-05,0.0002445362964780716,COMPLETE
2,53.46028709411621,2026-02-23 08:47:12.058537,2026-02-23 08:47:27.225720,0 days 00:00:15.167183,64,0.427258584845733,1.345580195783354e-05,2.9531932285335943e-06,COMPLETE
3,52.33832321166992,2026-02-23 08:47:27.330853,2026-02-23 08:48:01.879201,0 days 00:00:34.548348,64,0.4228800432654116,2.5728948113668974e-05,0.00034570148872412927,COMPLETE
4,48.106806945800784,2026-02-23 08:48:01.962853,2026-02-23 08:48:46.911992,0 days 00:00:44.949139,16,0.31822582807554434,2.7557403511834352e-05,0.00021035417600813745,COMPLETE
5,50.8084903717041,2026-02-23 08:48:46.975293,2026-02-23 08:49:34.464637,0 days 00:00:47.489344,64,0.24070304036443502,2.4576415711266737e-05,8.266292855214595e-06,COMPLETE
6,44.960788345336915,2026-02-23 08:49:34.547219,2026-02-23 08:50:14.672228,0 days 00:00:40.125009,16,0.3756668772911532,0.0001970655789096291,8.888847107263566e-06,COMPLETE
7,49.834923553466794,2026-02-23 08:50:14.735634,2026-02-23 08:50:50.508923,0 days 00:00:35.773289,32,0.35489895325369214,2.2786459783591522e-05,4.0836597715717145e-05,COMPLETE
8,44.99626541137695,2026-02-23 08:50:50.574923,2026-02-23 08:51:39.530057,0 days 00:00:48.955134,16,0.2679870946754113,8.292485499895673e-05,2.4133796918882885e-05,COMPLETE
9,45.07323875427246,2026-02-23 08:51:39.592504,2026-02-23 08:52:09.397662,0 days 00:00:29.805158,16,0.44416889326402054,0.0006946382008967978,0.00018075436507936234,COMPLETE
10,45.4929084777832,2026-02-23 08:52:09.459851,2026-02-23 08:52:43.520863,0 days 00:00:34.061012,16,0.47968693008338364,0.00045223535552587707,1.784983778689541e-06,COMPLETE
11,44.495187759399414,2026-02-23 08:52:43.582257,2026-02-23 08:53:27.070531,0 days 00:00:43.488274,16,0.2573334412063269,0.00014807742499267407,4.1251080750766996e-05,COMPLETE
12,43.98075523376465,2026-02-23 08:53:27.131812,2026-02-23 08:54:07.713749,0 days 00:00:40.581937,16,0.20820493964194897,0.00022991705294822016,5.0533827529896955e-05,COMPLETE
13,44.23109588623047,2026-02-23 08:54:07.776509,2026-02-23 08:54:53.534483,0 days 00:00:45.757974,16,0.21218688699487775,0.00013781940758837344,5.79064911698949e-05,COMPLETE
14,43.854251861572266,2026-02-23 08:54:53.596718,2026-02-23 08:55:30.376730,0 days 00:00:36.780012,16,0.20486071454507856,0.0002790675838692962,7.618010493864418e-05,COMPLETE
15,43.92965965270996,2026-02-23 08:55:30.439361,2026-02-23 08:56:00.313234,0 days 00:00:29.873873,32,0.2051118283359816,0.0003189836907613495,7.355883197633603e-05,COMPLETE
16,44.48450698852539,2026-02-23 08:56:00.377650,2026-02-23 08:56:31.300362,0 days 00:00:30.922712,32,0.3083160293878038,0.0004210814303606433,0.0006441882433329782,COMPLETE
17,45.59015579223633,2026-02-23 08:56:31.366945,2026-02-23 08:57:20.811290,0 days 00:00:49.444345,32,0.3011607132965122,7.381025375555131e-05,0.00010715501575504297,COMPLETE
18,43.37669677734375,2026-02-23 08:57:20.878088,2026-02-23 08:57:47.114754,0 days 00:00:26.236666,32,0.20215296315071646,0.0008703233634148942,0.0007870632967901192,COMPLETE
19,43.705796813964845,2026-02-23 08:57:47.187953,2026-02-23 08:58:11.098916,0 days 00:00:23.910963,32,0.24034103957110756,0.0009982430438582697,0.0009296800387576297,COMPLETE
