number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,44.07433395385742,2026-02-23 08:06:29.325122,2026-02-23 08:08:26.401494,0 days 00:01:57.076372,64,0.33106181385514577,4.4663276115569776e-05,0.00020843075834024114,COMPLETE
1,44.33430824279785,2026-02-23 08:08:26.510372,2026-02-23 08:09:43.367889,0 days 00:01:16.857517,32,0.259545601092696,3.01917070342477e-05,2.6733038556652665e-06,COMPLETE
2,43.7311595916748,2026-02-23 08:09:43.431668,2026-02-23 08:11:34.859295,0 days 00:01:51.427627,64,0.3822327113247162,7.726145093209576e-05,0.0001701720757721886,COMPLETE
3,41.2956600189209,2026-02-23 08:11:34.959243,2026-02-23 08:12:16.664482,0 days 00:00:41.705239,64,0.2043984047864906,0.0009855961199311922,0.0005525021002999103,COMPLETE
4,41.97765045166015,2026-02-23 08:12:16.759776,2026-02-23 08:13:13.697438,0 days 00:00:56.937662,16,0.319578542965313,0.00014625518367040514,2.934575153988513e-06,COMPLETE
5,47.83653450012207,2026-02-23 08:13:13.757310,2026-02-23 08:14:25.987347,0 days 00:01:12.230037,16,0.42882296304539025,1.2193593901285096e-05,3.2296594493999486e-06,COMPLETE
6,42.838741302490234,2026-02-23 08:14:26.049524,2026-02-23 08:15:54.094794,0 days 00:01:28.045270,64,0.40351028747899564,0.00019213672527591428,0.0008122829067835912,COMPLETE
7,42.3389892578125,2026-02-23 08:15:54.188307,2026-02-23 08:17:00.381386,0 days 00:01:06.193079,64,0.20652183268173502,0.0001953810585070815,0.0001737196545141061,COMPLETE
8,42.358999252319336,2026-02-23 08:17:00.467868,2026-02-23 08:18:00.429746,0 days 00:00:59.961878,16,0.28457379747336253,9.49182616684026e-05,1.173679883037436e-05,COMPLETE
9,40.82912979125977,2026-02-23 08:18:00.490223,2026-02-23 08:18:35.371141,0 days 00:00:34.880918,16,0.2479320237150291,0.0009494476128094871,5.4837528099630935e-06,COMPLETE
10,42.45095024108887,2026-02-23 08:18:35.433996,2026-02-23 08:19:15.882402,0 days 00:00:40.448406,32,0.4788709280141503,0.0009959715111806998,1.8270548419977857e-05,COMPLETE
11,41.37280197143555,2026-02-23 08:19:15.947462,2026-02-23 08:19:55.823590,0 days 00:00:39.876128,16,0.2014525399268763,0.000989284737707004,5.117048330350471e-05,COMPLETE
12,42.05746726989746,2026-02-23 08:19:55.885092,2026-02-23 08:20:37.852372,0 days 00:00:41.967280,64,0.24505462722962784,0.00042635075406650177,1.0509325366646492e-06,COMPLETE
13,41.52236671447754,2026-02-23 08:20:37.945436,2026-02-23 08:21:15.847121,0 days 00:00:37.901685,16,0.24495403144684624,0.0004848201066541639,0.0008695682107640228,COMPLETE
14,41.87625846862793,2026-02-23 08:21:15.908135,2026-02-23 08:21:48.852376,0 days 00:00:32.944241,32,0.2794876079831215,0.0004258537372892508,3.807429342693863e-05,COMPLETE
15,41.72104148864746,2026-02-23 08:21:48.909051,2026-02-23 08:22:29.683402,0 days 00:00:40.774351,64,0.21919685718270832,0.0006128171656851509,7.843129169508253e-06,COMPLETE
16,41.75173835754394,2026-02-23 08:22:29.753821,2026-02-23 08:23:23.228836,0 days 00:00:53.475015,16,0.3117571116946134,0.0002978379873433382,5.814603120723413e-05,COMPLETE
17,41.97974815368652,2026-02-23 08:23:23.279107,2026-02-23 08:24:05.903175,0 days 00:00:42.624068,64,0.36581733793481347,0.0007070917108398549,0.00035785610304904096,COMPLETE
18,41.59662132263183,2026-02-23 08:24:05.983179,2026-02-23 08:24:57.532429,0 days 00:00:51.549250,16,0.23373095554976536,0.00028588403313557705,5.349843652394735e-06,COMPLETE
19,46.75946617126465,2026-02-23 08:24:57.585155,2026-02-23 08:26:05.890618,0 days 00:01:08.305463,32,0.28283882342945704,1.6579853749013842e-05,2.082194893267758e-05,COMPLETE
