Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,35.931968688964844,0.7438902854919434,0.7442632,102,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_0.pt
1,36.14939880371094,0.7378101348876953,0.7380083,112,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_1.pt
2,36.58219528198242,0.7371019124984741,0.7371041,76,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_2.pt
3,35.64957809448242,0.7517604231834412,0.75191045,96,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_3.pt
4,37.14100646972656,0.6990121603012085,0.6998217,121,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_4.pt
5,35.75602722167969,0.7485020756721497,0.7486044,88,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_5.pt
6,35.30521011352539,0.7527555823326111,0.7536259,95,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_6.pt
7,36.596412658691406,0.7274354696273804,0.72754645,82,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_7.pt
8,35.312564849853516,0.7393280267715454,0.73937154,191,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_8.pt
9,37.77525329589844,0.7130874395370483,0.7131859,146,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit/general_best_fold_9.pt
