Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,37.90195083618164,0.7129947543144226,0.71299505,150,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_0.pt
1,36.95184326171875,0.7212287187576294,0.7212739,168,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_1.pt
2,39.67608642578125,0.7067914009094238,0.7105677,91,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_2.pt
3,35.981300354003906,0.7058029174804688,0.7087691,105,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_3.pt
4,36.51209259033203,0.7202693223953247,0.7203084,111,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_4.pt
5,34.4426155090332,0.7782597541809082,0.779101,96,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_5.pt
6,36.55299758911133,0.7200056314468384,0.7206702,135,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_6.pt
7,37.46240234375,0.7276328802108765,0.7277615,134,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_7.pt
8,36.50813674926758,0.720684826374054,0.7207304,147,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_8.pt
9,36.85163879394531,0.7315089106559753,0.731606,108,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50/general_best_fold_9.pt
