Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,38.79218673706055,0.68485426902771,0.6848556,93,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_0.pt
1,36.5904541015625,0.7274346351623535,0.7286209,171,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_1.pt
2,37.781219482421875,0.7056096792221069,0.7056097,73,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_2.pt
3,36.6790657043457,0.7204321622848511,0.72153115,117,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_3.pt
4,36.45833206176758,0.7222565412521362,0.72251225,117,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_4.pt
5,39.720314025878906,0.6860277652740479,0.68604267,141,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_5.pt
6,36.95681381225586,0.7057126760482788,0.7058195,102,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_6.pt
7,35.90473556518555,0.7118799686431885,0.71223485,148,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_7.pt
8,36.25932693481445,0.7504575252532959,0.75083846,112,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_8.pt
9,36.796295166015625,0.7158869504928589,0.7159964,121,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_Ro5_RDKit_50_threshold_0/general_best_fold_9.pt
