Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,49.33721923828125,0.48770326375961304,0.5280455,205,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_0.pt
1,36.65818786621094,0.7765353918075562,0.77960086,215,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_1.pt
2,31.67084312438965,0.7500198483467102,0.7654717,236,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_2.pt
3,59.00457763671875,0.4391580820083618,0.5092056,230,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_3.pt
4,53.90238571166992,0.3257281184196472,0.37194145,229,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_4.pt
5,52.90932846069336,0.43149232864379883,0.43221337,226,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_5.pt
6,65.06609344482422,0.40284764766693115,0.40760428,191,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_6.pt
7,56.15873718261719,0.3186787962913513,0.31993526,194,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_7.pt
8,34.450008392333984,0.6265780925750732,0.63200134,244,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_8.pt
9,61.1898193359375,0.458612322807312,0.4586696,194,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_bRo5_RDKit/general_best_fold_9.pt
