Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,37.0146484375,0.7274734377861023,0.7274882,103,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_0.pt
1,35.81368637084961,0.7358765006065369,0.7359009,190,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_1.pt
2,36.541908264160156,0.7283142805099487,0.72854817,163,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_2.pt
3,36.05961227416992,0.7481807470321655,0.74823046,143,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_3.pt
4,36.45795822143555,0.7337884902954102,0.73379517,189,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_4.pt
5,34.06088638305664,0.7616264820098877,0.7617303,172,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_5.pt
6,36.48056411743164,0.7456823587417603,0.74568367,130,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_6.pt
7,35.16181182861328,0.7524348497390747,0.75268006,132,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_7.pt
8,37.70088577270508,0.7164272665977478,0.7166226,185,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_8.pt
9,34.62607192993164,0.7620424032211304,0.7620807,135,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction/general_best_fold_9.pt
