Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,37.28541946411133,0.7178571820259094,0.71787286,73,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_0.pt
1,36.890289306640625,0.7283768653869629,0.72882974,127,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_1.pt
2,37.30869674682617,0.7227652072906494,0.72292674,98,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_2.pt
3,38.1557502746582,0.7210955619812012,0.72110844,66,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_3.pt
4,35.22978973388672,0.7460768818855286,0.74612254,95,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_4.pt
5,36.646583557128906,0.747900664806366,0.7481894,108,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_5.pt
6,38.250484466552734,0.7218222618103027,0.7224897,66,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_6.pt
7,35.792076110839844,0.751782238483429,0.7517928,118,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_7.pt
8,36.39033126831055,0.7386480569839478,0.738725,130,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_8.pt
9,37.20924377441406,0.7247846126556396,0.72485095,80,/Users/sdl5_mp/Documents/GitHub/melting_point_2026/Ro5/artifacts/general_best_models_no_interaction_50/general_best_fold_9.pt
