number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,43.80647621154785,2026-02-19 23:47:45.406322,2026-02-19 23:47:56.868119,0 days 00:00:11.461797,16,0.35640628515507344,0.0005148401845497258,4.505404601327613e-06,COMPLETE
1,54.523864364624025,2026-02-19 23:47:56.939349,2026-02-19 23:48:01.274996,0 days 00:00:04.335647,32,0.4115041025452769,1.2278579301672162e-05,3.816912927586775e-06,COMPLETE
2,44.08418960571289,2026-02-19 23:48:01.412546,2026-02-19 23:48:11.126173,0 days 00:00:09.713627,16,0.3613024211500531,0.0009175197843296717,0.0007056678731436144,COMPLETE
3,57.07790069580078,2026-02-19 23:48:11.229908,2026-02-19 23:48:17.554381,0 days 00:00:06.324473,16,0.4545123708227627,1.0474547497729863e-05,1.0861440676739645e-05,COMPLETE
4,51.938547134399414,2026-02-19 23:48:17.625232,2026-02-19 23:48:21.633813,0 days 00:00:04.008581,64,0.2502837245599127,4.8038014002966867e-05,8.20619081894741e-05,COMPLETE
5,54.64607810974121,2026-02-19 23:48:21.742998,2026-02-19 23:48:25.504311,0 days 00:00:03.761313,32,0.4334741193943796,9.535367054444578e-05,1.0979220559641663e-05,COMPLETE
6,43.89473114013672,2026-02-19 23:48:25.579047,2026-02-19 23:48:37.343264,0 days 00:00:11.764217,16,0.30587371974017313,0.0006031502849313659,0.0004990628427925917,COMPLETE
7,57.814287948608396,2026-02-19 23:48:37.414097,2026-02-19 23:48:43.287911,0 days 00:00:05.873814,16,0.20448460563328935,1.3153689616113901e-05,0.000907937642244291,COMPLETE
8,43.90197868347168,2026-02-19 23:48:43.358377,2026-02-19 23:48:58.987289,0 days 00:00:15.628912,16,0.20640012118979817,0.00027319140170233843,5.721269425136842e-06,COMPLETE
9,55.91906204223633,2026-02-19 23:48:59.058092,2026-02-19 23:49:05.865270,0 days 00:00:06.807178,16,0.4211590421682778,3.565159421372826e-05,0.00017758416815346213,COMPLETE
10,51.941798782348634,2026-02-19 23:49:05.937060,2026-02-19 23:49:10.910564,0 days 00:00:04.973504,64,0.49587283148286554,0.00027968323141768257,1.173131763159111e-06,COMPLETE
11,43.470520401000975,2026-02-19 23:49:11.031913,2026-02-19 23:49:21.698202,0 days 00:00:10.666289,16,0.30181786992049064,0.0009237713604606765,4.496577517759207e-05,COMPLETE
12,43.96223049163818,2026-02-19 23:49:21.772720,2026-02-19 23:49:35.695913,0 days 00:00:13.923193,16,0.3223406521386877,0.0003759119370994558,3.311215642746325e-05,COMPLETE
13,43.7284912109375,2026-02-19 23:49:35.770646,2026-02-19 23:49:46.846508,0 days 00:00:11.075862,16,0.3633200713285928,0.0008201298126007564,4.500143490769711e-05,COMPLETE
14,51.7718147277832,2026-02-19 23:49:46.918213,2026-02-19 23:49:50.707889,0 days 00:00:03.789676,64,0.27580860957723236,0.00016989430226508197,5.2207933970763226e-05,COMPLETE
15,43.40832576751709,2026-02-19 23:49:50.817759,2026-02-19 23:49:58.926835,0 days 00:00:08.109076,32,0.38096322791611414,0.0009198408813460701,0.00015280171597390247,COMPLETE
16,51.64032974243164,2026-02-19 23:49:59.004067,2026-02-19 23:50:07.322416,0 days 00:00:08.318349,32,0.38430190883315796,0.00018423584203201734,0.00018526428530859498,COMPLETE
17,54.05439453125,2026-02-19 23:50:07.396456,2026-02-19 23:50:11.104308,0 days 00:00:03.707852,32,0.32159246837969485,9.757337607463589e-05,0.00016982150471471472,COMPLETE
18,43.50021324157715,2026-02-19 23:50:11.178148,2026-02-19 23:50:19.762272,0 days 00:00:08.584124,32,0.271852812481534,0.0009196730274229982,1.630756524100659e-05,COMPLETE
19,46.35575714111328,2026-02-19 23:50:19.838611,2026-02-19 23:50:31.770974,0 days 00:00:11.932363,32,0.39599525390796664,0.000442926393609962,0.00035786122759693805,COMPLETE
