number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,47.02875328063965,2026-02-19 23:50:40.765165,2026-02-19 23:50:49.320354,0 days 00:00:08.555189,16,0.4164491071008529,0.0008575857372200451,2.1416760087331718e-05,COMPLETE
1,51.75218276977539,2026-02-19 23:50:49.381601,2026-02-19 23:50:52.416216,0 days 00:00:03.034615,64,0.27016864581266864,7.913630765435442e-05,1.4167410978678185e-06,COMPLETE
2,54.16415519714356,2026-02-19 23:50:52.535106,2026-02-19 23:50:55.023303,0 days 00:00:02.488197,32,0.23523547135572478,1.4931097130041477e-05,3.5232547741283287e-06,COMPLETE
3,53.99605293273926,2026-02-19 23:50:55.087668,2026-02-19 23:50:57.527022,0 days 00:00:02.439354,32,0.2123102313025715,0.00018114255247624923,0.0002913604985635835,COMPLETE
4,54.61583290100098,2026-02-19 23:50:57.590146,2026-02-19 23:51:00.029948,0 days 00:00:02.439802,32,0.4139427364919669,3.8112867242243476e-05,1.5727158676193088e-06,COMPLETE
5,50.17208824157715,2026-02-19 23:51:00.091525,2026-02-19 23:51:08.191832,0 days 00:00:08.100307,64,0.2094902865359232,0.0006847924237171943,7.516705652987405e-06,COMPLETE
6,53.92541007995605,2026-02-19 23:51:08.301422,2026-02-19 23:51:11.294001,0 days 00:00:02.992579,32,0.23644599329743063,5.127776429401894e-05,0.0006120528230108717,COMPLETE
7,51.778276443481445,2026-02-19 23:51:11.361633,2026-02-19 23:51:14.887730,0 days 00:00:03.526097,64,0.20769827728240595,0.0001107440485961287,3.354201101510372e-05,COMPLETE
8,52.12893142700195,2026-02-19 23:51:14.998963,2026-02-19 23:51:18.718916,0 days 00:00:03.719953,64,0.4578202277804833,0.000273787893184729,0.0003156081705701949,COMPLETE
9,55.14306831359863,2026-02-19 23:51:18.832818,2026-02-19 23:51:25.836705,0 days 00:00:07.003887,16,0.4464392318345151,7.236851686311047e-05,2.372189143605718e-05,COMPLETE
10,46.23599815368652,2026-02-19 23:51:25.913719,2026-02-19 23:51:34.383100,0 days 00:00:08.469381,16,0.35893819162767293,0.0009864638103726567,6.672050316147735e-05,COMPLETE
11,46.46667995452881,2026-02-19 23:51:34.455042,2026-02-19 23:51:42.261915,0 days 00:00:07.806873,16,0.35781189117596124,0.0009117217159911655,4.820066767639856e-05,COMPLETE
12,46.34174690246582,2026-02-19 23:51:42.325294,2026-02-19 23:51:52.676681,0 days 00:00:10.351387,16,0.33185452467181475,0.00040443193197320213,8.522403746040104e-05,COMPLETE
13,46.517031860351565,2026-02-19 23:51:52.738382,2026-02-19 23:52:03.845671,0 days 00:00:11.107289,16,0.3375642848119965,0.00036043937180052076,0.00010488609396982675,COMPLETE
14,46.48726482391358,2026-02-19 23:52:03.906026,2026-02-19 23:52:15.852187,0 days 00:00:11.946161,16,0.345349197012419,0.0003836289041401418,0.00010733127990197652,COMPLETE
15,46.101371383666994,2026-02-19 23:52:15.925389,2026-02-19 23:52:25.755401,0 days 00:00:09.830012,16,0.29935291011723447,0.0004671174423763348,0.00011392942039660975,COMPLETE
16,47.952593612670896,2026-02-19 23:52:25.826257,2026-02-19 23:52:41.120675,0 days 00:00:15.294418,16,0.2931282280954345,0.00017594746448770617,1.113072496867404e-05,COMPLETE
17,46.86928253173828,2026-02-19 23:52:41.190181,2026-02-19 23:52:50.100598,0 days 00:00:08.910417,16,0.3783159165859542,0.0005949794277953223,0.0001931148107884777,COMPLETE
18,48.85017318725586,2026-02-19 23:52:50.179026,2026-02-19 23:53:04.328497,0 days 00:00:14.149471,16,0.2965840347970967,0.00019534870684107292,0.0008010877309923662,COMPLETE
19,46.487051010131836,2026-02-19 23:53:04.400450,2026-02-19 23:53:13.642485,0 days 00:00:09.242035,16,0.305571777776376,0.0005650382624812817,5.630254828662302e-05,COMPLETE
