number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,45.009194946289064,2026-02-19 23:44:03.326920,2026-02-19 23:44:16.714092,0 days 00:00:13.387172,16,0.4789687323804622,0.0005194057172834013,8.469672667221411e-06,COMPLETE
1,51.60958061218262,2026-02-19 23:44:16.786416,2026-02-19 23:44:21.559596,0 days 00:00:04.773180,64,0.2176418580881318,3.569501399906549e-05,1.7690472474722015e-06,COMPLETE
2,51.932855224609376,2026-02-19 23:44:21.660312,2026-02-19 23:44:26.627412,0 days 00:00:04.967100,64,0.3085123340277397,1.0195592417294135e-05,0.00010801363907535336,COMPLETE
3,52.15183563232422,2026-02-19 23:44:26.743653,2026-02-19 23:44:31.772973,0 days 00:00:05.029320,64,0.4924598094648835,4.896108225437493e-05,0.0001241617545792022,COMPLETE
4,49.89974517822266,2026-02-19 23:44:31.883389,2026-02-19 23:44:41.629854,0 days 00:00:09.746465,32,0.4273128888471004,0.00023680230656288677,5.2930780145804745e-06,COMPLETE
5,51.22679748535156,2026-02-19 23:44:41.703123,2026-02-19 23:44:52.055652,0 days 00:00:10.352529,32,0.3797723244320418,0.00016012967938541556,1.4284908952341478e-05,COMPLETE
6,52.0453987121582,2026-02-19 23:44:52.129195,2026-02-19 23:44:56.393954,0 days 00:00:04.264759,64,0.4358550575962585,1.7400533337059456e-05,9.842468633498596e-05,COMPLETE
7,56.036922454833984,2026-02-19 23:44:56.496552,2026-02-19 23:45:05.096713,0 days 00:00:08.600161,16,0.4047434523311831,2.175569089888728e-05,2.5496232866723572e-05,COMPLETE
8,54.13295402526855,2026-02-19 23:45:05.166271,2026-02-19 23:45:09.918145,0 days 00:00:04.751874,32,0.38388608672095176,5.42111234417262e-05,0.00026086402722639787,COMPLETE
9,51.853938293457034,2026-02-19 23:45:10.003774,2026-02-19 23:45:14.893760,0 days 00:00:04.889986,64,0.3072944382827264,1.8637259717387107e-05,2.9545623174540677e-06,COMPLETE
10,44.71861572265625,2026-02-19 23:45:15.014296,2026-02-19 23:45:27.709192,0 days 00:00:12.694896,16,0.48478365868450946,0.0008125107089615319,1.0085600284053289e-05,COMPLETE
11,45.66310119628906,2026-02-19 23:45:27.778765,2026-02-19 23:45:38.986993,0 days 00:00:11.208228,16,0.4987773535631725,0.0009902447294501838,8.280210549910034e-06,COMPLETE
12,45.57177314758301,2026-02-19 23:45:39.062119,2026-02-19 23:45:50.095601,0 days 00:00:11.033482,16,0.449603461515089,0.0008690526832511248,1.1222641096515223e-06,COMPLETE
13,45.7350154876709,2026-02-19 23:45:50.174274,2026-02-19 23:46:05.368541,0 days 00:00:15.194267,16,0.47353032118890964,0.00042333707115488204,3.464811720682217e-05,COMPLETE
14,45.35987739562988,2026-02-19 23:46:05.440378,2026-02-19 23:46:20.736440,0 days 00:00:15.296062,16,0.33026375435998445,0.0004127763749573765,3.09342983497772e-05,COMPLETE
15,44.51779365539551,2026-02-19 23:46:20.806935,2026-02-19 23:46:33.360686,0 days 00:00:12.553751,16,0.2538567572092167,0.00048733791518309767,0.0007133987119024935,COMPLETE
16,47.76934051513672,2026-02-19 23:46:33.446877,2026-02-19 23:46:55.077863,0 days 00:00:21.630986,16,0.24072742365692196,0.0001080431791226505,0.0008924402484195243,COMPLETE
17,45.99070854187012,2026-02-19 23:46:55.189812,2026-02-19 23:47:11.058104,0 days 00:00:15.868292,16,0.27883056442367565,0.00025022300328520934,0.0004202496846266859,COMPLETE
18,45.49403762817383,2026-02-19 23:47:11.128412,2026-02-19 23:47:23.147166,0 days 00:00:12.018754,16,0.26024475728050933,0.0007422968780448746,5.860760318066976e-05,COMPLETE
19,46.59811859130859,2026-02-19 23:47:23.205846,2026-02-19 23:47:34.894574,0 days 00:00:11.688728,16,0.20198482038670879,0.0003053970171224858,0.0008355544646381518,COMPLETE
