number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,55.55783920288086,2026-02-20 00:14:04.960328,2026-02-20 00:14:13.735512,0 days 00:00:08.775184,16,0.2460890946048372,0.0003134335661285759,5.026524711173223e-06,COMPLETE
1,57.28593559265137,2026-02-20 00:14:13.795466,2026-02-20 00:14:15.586382,0 days 00:00:01.790916,32,0.3144033692039579,1.5510798190063858e-05,1.5223610767383617e-05,COMPLETE
2,63.61001129150391,2026-02-20 00:14:15.646976,2026-02-20 00:14:19.240085,0 days 00:00:03.593109,16,0.40316551361294256,6.144379459632918e-05,5.360435593286418e-05,COMPLETE
3,63.201955032348636,2026-02-20 00:14:19.300601,2026-02-20 00:14:22.916081,0 days 00:00:03.615480,16,0.46369071263106687,4.2036614577266243e-05,0.00017153390978968489,COMPLETE
4,62.802214813232425,2026-02-20 00:14:22.977095,2026-02-20 00:14:26.679893,0 days 00:00:03.702798,16,0.44683944798575487,1.1884757038146812e-05,1.916325591043399e-05,COMPLETE
5,57.68467140197754,2026-02-20 00:14:26.739192,2026-02-20 00:14:28.407555,0 days 00:00:01.668363,32,0.4405793675112958,4.536422060926247e-05,2.5974665844833852e-06,COMPLETE
6,57.66026000976562,2026-02-20 00:14:28.470049,2026-02-20 00:14:30.116752,0 days 00:00:01.646703,32,0.49526742784456107,5.505184075558819e-05,0.00048524366225356807,COMPLETE
7,57.4994514465332,2026-02-20 00:14:30.177221,2026-02-20 00:14:31.907891,0 days 00:00:01.730670,32,0.32806772554612434,4.036022750989739e-05,7.240578288865854e-06,COMPLETE
8,61.03127326965332,2026-02-20 00:14:31.970867,2026-02-20 00:14:37.912027,0 days 00:00:05.941160,16,0.39301030235930545,0.00021876323523149465,0.00015575743440254,COMPLETE
9,57.11285820007324,2026-02-20 00:14:37.976989,2026-02-20 00:14:40.075644,0 days 00:00:02.098655,32,0.29795617729854634,6.714907799152709e-05,0.00012397717328167207,COMPLETE
10,54.491105270385745,2026-02-20 00:14:40.140297,2026-02-20 00:14:41.340927,0 days 00:00:01.200630,64,0.20947413098064577,0.0008170707390067284,1.1261783274178494e-06,COMPLETE
11,54.059260559082034,2026-02-20 00:14:41.408785,2026-02-20 00:14:42.571564,0 days 00:00:01.162779,64,0.2062074270524367,0.0008404810459011776,1.0457256074643782e-06,COMPLETE
12,54.06342239379883,2026-02-20 00:14:42.638094,2026-02-20 00:14:43.788235,0 days 00:00:01.150141,64,0.2087696382747781,0.0008827479820194612,1.1045300394985375e-06,COMPLETE
13,54.677338409423825,2026-02-20 00:14:43.853299,2026-02-20 00:14:44.990444,0 days 00:00:01.137145,64,0.20066927989716274,0.000945474955493588,1.1711971514146502e-06,COMPLETE
14,53.76890983581543,2026-02-20 00:14:45.058204,2026-02-20 00:14:46.282385,0 days 00:00:01.224181,64,0.2638942921703037,0.0004761547601254447,3.1955247471353417e-06,COMPLETE
15,54.184418487548825,2026-02-20 00:14:46.349060,2026-02-20 00:14:47.536158,0 days 00:00:01.187098,64,0.2651208571384973,0.00039871428032137575,3.379429970145711e-06,COMPLETE
16,53.853092193603516,2026-02-20 00:14:47.602191,2026-02-20 00:14:48.899717,0 days 00:00:01.297526,64,0.2617793920518463,0.00016324926581571026,9.54208667109874e-06,COMPLETE
17,53.76917953491211,2026-02-20 00:14:48.967275,2026-02-20 00:14:50.470209,0 days 00:00:01.502934,64,0.2701114677030508,0.00015888529330420037,9.81562418515528e-06,COMPLETE
18,53.69046630859375,2026-02-20 00:14:50.533462,2026-02-20 00:14:51.761848,0 days 00:00:01.228386,64,0.3594599948357411,0.00012114906920943266,4.0005239092838925e-05,COMPLETE
19,53.70043830871582,2026-02-20 00:14:51.827928,2026-02-20 00:14:53.049525,0 days 00:00:01.221597,64,0.3635993420697954,0.00043105811844743367,3.826443480962942e-05,COMPLETE
