number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,63.70850296020508,2026-02-20 00:14:54.405724,2026-02-20 00:14:56.777512,0 days 00:00:02.371788,16,0.4452220961893197,2.322190272061766e-05,5.782326481731788e-05,COMPLETE
1,53.954193115234375,2026-02-20 00:14:56.836997,2026-02-20 00:14:57.849979,0 days 00:00:01.012982,64,0.3255740767467682,0.0008904801132630477,4.977185783330787e-06,COMPLETE
2,57.44640007019043,2026-02-20 00:14:57.918002,2026-02-20 00:14:59.378032,0 days 00:00:01.460030,32,0.3999094607245217,0.00014777481955756055,1.3335430595397383e-06,COMPLETE
3,57.4358943939209,2026-02-20 00:14:59.439509,2026-02-20 00:15:00.829385,0 days 00:00:01.389876,32,0.22920371124406758,0.00014034487966302966,2.657859326898182e-06,COMPLETE
4,63.44723815917969,2026-02-20 00:15:00.890548,2026-02-20 00:15:03.350171,0 days 00:00:02.459623,16,0.47391644452224624,5.087726501625164e-05,2.536075773187424e-06,COMPLETE
5,57.297383880615236,2026-02-20 00:15:03.412117,2026-02-20 00:15:04.747970,0 days 00:00:01.335853,32,0.37624700400982936,0.0006555813707821035,0.0002468020572265276,COMPLETE
6,56.99681015014649,2026-02-20 00:15:04.811427,2026-02-20 00:15:06.296610,0 days 00:00:01.485183,32,0.3556303414953155,1.8859431765719962e-05,0.0004298518506376938,COMPLETE
7,53.69155921936035,2026-02-20 00:15:06.359268,2026-02-20 00:15:07.467817,0 days 00:00:01.108549,64,0.35878643752307193,0.00014059915993851907,4.401803727580555e-06,COMPLETE
8,57.65970230102539,2026-02-20 00:15:07.535239,2026-02-20 00:15:13.257964,0 days 00:00:05.722725,16,0.3378040218734918,0.0006794331203094423,1.7496400886314744e-06,COMPLETE
9,54.02650337219238,2026-02-20 00:15:13.322154,2026-02-20 00:15:14.552483,0 days 00:00:01.230329,64,0.32449493040740096,1.955764310264134e-05,0.0001011972121560353,COMPLETE
10,53.93099479675293,2026-02-20 00:15:14.619578,2026-02-20 00:15:15.732394,0 days 00:00:01.112816,64,0.24934432804508322,0.0003157549747302495,1.2583484608141479e-05,COMPLETE
11,54.26214866638183,2026-02-20 00:15:15.800944,2026-02-20 00:15:17.003151,0 days 00:00:01.202207,64,0.2485207652720064,0.00028877295020682004,1.2916399743161722e-05,COMPLETE
12,54.021135330200195,2026-02-20 00:15:17.069558,2026-02-20 00:15:18.150398,0 days 00:00:01.080840,64,0.2745844521492257,0.0002976011452584116,1.5131851434001262e-05,COMPLETE
13,54.284034729003906,2026-02-20 00:15:18.218486,2026-02-20 00:15:19.235991,0 days 00:00:01.017505,64,0.2840624132241737,6.264496942494964e-05,1.0077130493055679e-05,COMPLETE
14,53.90027923583985,2026-02-20 00:15:19.304136,2026-02-20 00:15:20.352467,0 days 00:00:01.048331,64,0.4147696288563198,0.0002907428600784941,3.720781981602537e-05,COMPLETE
15,54.08102188110352,2026-02-20 00:15:20.417393,2026-02-20 00:15:21.392495,0 days 00:00:00.975102,64,0.4149533406298577,8.518059901533102e-05,3.8576693885174794e-05,COMPLETE
16,53.84121398925781,2026-02-20 00:15:21.460061,2026-02-20 00:15:22.438523,0 days 00:00:00.978462,64,0.49342167571022344,0.00016783786322509703,0.00012633298658287044,COMPLETE
17,53.738240814208986,2026-02-20 00:15:22.510619,2026-02-20 00:15:23.547317,0 days 00:00:01.036698,64,0.48814777307664126,1.0084342710942951e-05,0.00014894059484456824,COMPLETE
18,54.016290283203126,2026-02-20 00:15:23.617246,2026-02-20 00:15:24.836791,0 days 00:00:01.219545,64,0.4561009092908644,1.1155204048489313e-05,0.0007019486056763314,COMPLETE
19,63.82410507202148,2026-02-20 00:15:24.901811,2026-02-20 00:15:27.186184,0 days 00:00:02.284373,16,0.4389762350047318,3.925993656018025e-05,0.0001987389276137672,COMPLETE
