number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,53.92793922424316,2026-02-20 00:12:55.571592,2026-02-20 00:12:58.340258,0 days 00:00:02.768666,64,0.2817658484350332,1.3954549438859077e-05,0.0004074736378786306,COMPLETE
1,53.165458297729494,2026-02-20 00:12:58.423106,2026-02-20 00:13:00.311354,0 days 00:00:01.888248,64,0.32937751593693526,0.0006328800020554059,0.0006668151534369877,COMPLETE
2,62.513990020751955,2026-02-20 00:13:00.381185,2026-02-20 00:13:05.055213,0 days 00:00:04.674028,16,0.47809553870101157,3.469264484471074e-05,1.0094078605472199e-06,COMPLETE
3,56.51553039550781,2026-02-20 00:13:05.117121,2026-02-20 00:13:07.962496,0 days 00:00:02.845375,32,0.2399223322916704,1.8105966351568448e-05,2.1676252648312108e-06,COMPLETE
4,53.157471084594725,2026-02-20 00:13:08.039254,2026-02-20 00:13:10.035700,0 days 00:00:01.996446,64,0.3320968888562176,0.00030850160745761837,4.551911657108913e-06,COMPLETE
5,58.10640258789063,2026-02-20 00:13:10.115515,2026-02-20 00:13:19.597432,0 days 00:00:09.481917,16,0.48053016326926,0.00015177945689119618,3.616780214753241e-05,COMPLETE
6,56.90581092834473,2026-02-20 00:13:19.658888,2026-02-20 00:13:22.469726,0 days 00:00:02.810838,32,0.3269205569021954,1.7044071974713974e-05,6.306153159482323e-06,COMPLETE
7,63.519923782348634,2026-02-20 00:13:22.532270,2026-02-20 00:13:26.793543,0 days 00:00:04.261273,16,0.42150782507175294,2.810155664075079e-05,0.00019431869468896506,COMPLETE
8,53.42522659301758,2026-02-20 00:13:26.860120,2026-02-20 00:13:28.768896,0 days 00:00:01.908776,64,0.31708960066729935,0.00037349668361220907,0.00018491535040007643,COMPLETE
9,62.1911922454834,2026-02-20 00:13:28.843093,2026-02-20 00:13:34.453159,0 days 00:00:05.610066,16,0.34036146139971574,5.325786843301604e-05,0.0009715571776596064,COMPLETE
10,53.322117233276366,2026-02-20 00:13:34.514500,2026-02-20 00:13:36.364684,0 days 00:00:01.850184,64,0.20122325550705514,0.00019305513463368395,1.0825928138409726e-05,COMPLETE
11,53.413687515258786,2026-02-20 00:13:36.449890,2026-02-20 00:13:38.443105,0 days 00:00:01.993215,64,0.3951268132774933,0.0009021142133828767,4.791212030618735e-05,COMPLETE
12,52.11687812805176,2026-02-20 00:13:38.508494,2026-02-20 00:13:40.320122,0 days 00:00:01.811628,64,0.3800992092273389,0.0008236772843463208,8.311399723192599e-06,COMPLETE
13,52.989569091796874,2026-02-20 00:13:40.388966,2026-02-20 00:13:41.895238,0 days 00:00:01.506272,64,0.3959570058065158,0.0002704835122958097,6.766102367241333e-06,COMPLETE
14,52.93348426818848,2026-02-20 00:13:41.966077,2026-02-20 00:13:43.945384,0 days 00:00:01.979307,64,0.40713482597418693,0.0004709751807430191,1.5197168961387364e-05,COMPLETE
15,52.908992004394534,2026-02-20 00:13:44.015349,2026-02-20 00:13:45.472071,0 days 00:00:01.456722,64,0.4321199512047772,0.0005395753723777166,1.799322451571237e-05,COMPLETE
16,49.408609008789064,2026-02-20 00:13:45.538004,2026-02-20 00:13:50.056686,0 days 00:00:04.518682,32,0.44967032649460953,0.0009935253867536893,7.816405181248665e-05,COMPLETE
17,56.72665023803711,2026-02-20 00:13:50.118993,2026-02-20 00:13:52.749851,0 days 00:00:02.630858,32,0.4508380295175743,7.904749238707616e-05,8.656431596895715e-05,COMPLETE
18,48.33857955932617,2026-02-20 00:13:52.812115,2026-02-20 00:13:58.138443,0 days 00:00:05.326328,32,0.37904392540513676,0.0009621285417654083,4.3157494173971655e-05,COMPLETE
19,57.00387420654297,2026-02-20 00:13:58.198906,2026-02-20 00:14:00.403612,0 days 00:00:02.204706,32,0.49980143371085917,0.00019922001836481773,0.0001194209802405839,COMPLETE
