number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,51.94580574035645,2026-02-20 01:08:01.865338,2026-02-20 01:08:04.347285,0 days 00:00:02.481947,32,0.43958604068706914,3.301248969379183e-05,0.00026186607676745175,COMPLETE
1,57.95696487426758,2026-02-20 01:08:04.401626,2026-02-20 01:08:08.905124,0 days 00:00:04.503498,16,0.2126585673752291,1.2050208347781419e-05,8.226512901806962e-06,COMPLETE
2,51.370865440368654,2026-02-20 01:08:08.965289,2026-02-20 01:08:12.274281,0 days 00:00:03.308992,32,0.3895176214555506,0.0004423867856541833,0.0008487009526256638,COMPLETE
3,58.084576797485354,2026-02-20 01:08:12.330245,2026-02-20 01:08:16.960690,0 days 00:00:04.630445,16,0.30536057091066926,1.320927210995005e-05,5.249936262608121e-05,COMPLETE
4,51.70817356109619,2026-02-20 01:08:17.021240,2026-02-20 01:08:19.397936,0 days 00:00:02.376696,32,0.423608115821725,0.00039254405962971923,0.0007683116861128003,COMPLETE
5,54.79491920471192,2026-02-20 01:08:19.455335,2026-02-20 01:08:30.213363,0 days 00:00:10.758028,16,0.33556671437286134,0.0001218803011662227,7.4145183181102e-05,COMPLETE
6,52.15911502838135,2026-02-20 01:08:30.266140,2026-02-20 01:08:32.863146,0 days 00:00:02.597006,32,0.4649569540316251,7.826431562689708e-05,6.562165576639564e-05,COMPLETE
7,51.78980026245117,2026-02-20 01:08:32.938212,2026-02-20 01:08:35.591841,0 days 00:00:02.653629,32,0.34385110761567883,3.6745612819792255e-05,0.0005918625676337043,COMPLETE
8,57.469854736328124,2026-02-20 01:08:35.660938,2026-02-20 01:08:39.964338,0 days 00:00:04.303400,16,0.34559595878556487,3.4459359489879295e-05,1.5295520228652462e-05,COMPLETE
9,45.22192916870117,2026-02-20 01:08:40.028008,2026-02-20 01:08:53.507226,0 days 00:00:13.479218,16,0.41971865076675274,0.0005553773928228772,1.2169500156752144e-06,COMPLETE
10,48.03397216796875,2026-02-20 01:08:53.556262,2026-02-20 01:08:55.494539,0 days 00:00:01.938277,64,0.4910387355025517,0.0009421352635322352,1.0315860299222254e-06,COMPLETE
11,47.97393589019775,2026-02-20 01:08:55.563531,2026-02-20 01:08:57.695332,0 days 00:00:02.131801,64,0.4989410509881591,0.0008921059686506468,1.1348226437888223e-06,COMPLETE
12,48.09609813690186,2026-02-20 01:08:57.768460,2026-02-20 01:09:00.127877,0 days 00:00:02.359417,64,0.491458906951906,0.0009009463769009178,1.838379695894545e-06,COMPLETE
13,47.74193000793457,2026-02-20 01:09:00.188582,2026-02-20 01:09:02.198185,0 days 00:00:02.009603,64,0.3973906252537446,0.00032944758282920056,4.403982221369984e-06,COMPLETE
14,47.7379186630249,2026-02-20 01:09:02.250399,2026-02-20 01:09:04.322669,0 days 00:00:02.072270,64,0.4026512359413224,0.00024636543371692963,4.2895601694161086e-06,COMPLETE
15,51.86305618286133,2026-02-20 01:09:04.396262,2026-02-20 01:09:16.822174,0 days 00:00:12.425912,16,0.2991800332963534,0.00013808090584339485,3.2981244150897173e-06,COMPLETE
16,47.928801918029784,2026-02-20 01:09:16.871955,2026-02-20 01:09:18.801746,0 days 00:00:01.929791,64,0.3955258768748371,0.00023546751630746835,1.5672066259919272e-05,COMPLETE
17,47.61667270660401,2026-02-20 01:09:18.881679,2026-02-20 01:09:21.175718,0 days 00:00:02.294039,64,0.258036740955791,0.00021018078182700114,3.0174687660282095e-06,COMPLETE
18,44.25068817138672,2026-02-20 01:09:21.243777,2026-02-20 01:09:33.772263,0 days 00:00:12.528486,16,0.20166824724346588,0.0005383910102795073,2.2369663417224676e-06,COMPLETE
19,43.9152530670166,2026-02-20 01:09:33.834606,2026-02-20 01:09:47.329904,0 days 00:00:13.495298,16,0.20557882441620542,0.0005452075596359409,8.914186475110494e-06,COMPLETE
