number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,47.5075325012207,2026-02-20 01:09:59.598713,2026-02-20 01:10:01.328921,0 days 00:00:01.730208,64,0.20743441268211874,0.00023086995284525284,1.0234886901939931e-05,COMPLETE
1,50.99073486328125,2026-02-20 01:10:01.380607,2026-02-20 01:10:03.476392,0 days 00:00:02.095785,32,0.23047621166530427,1.1595513088061794e-05,4.2624833712300035e-06,COMPLETE
2,47.65049304962158,2026-02-20 01:10:03.545594,2026-02-20 01:10:05.305004,0 days 00:00:01.759410,64,0.32914711141881237,0.0008310096489759016,6.035290098141111e-06,COMPLETE
3,52.16787700653076,2026-02-20 01:10:05.375585,2026-02-20 01:10:07.463634,0 days 00:00:02.088049,32,0.46765530856962295,2.5433547271737875e-05,7.231438957060201e-05,COMPLETE
4,58.010400390625,2026-02-20 01:10:07.521452,2026-02-20 01:10:11.172839,0 days 00:00:03.651387,16,0.28064306867702854,1.1514527176132536e-05,2.3348831355918797e-06,COMPLETE
5,52.011436462402344,2026-02-20 01:10:11.243552,2026-02-20 01:10:13.079337,0 days 00:00:01.835785,32,0.4321739989356964,5.814267853120631e-05,0.0009619628258213945,COMPLETE
6,47.6192663192749,2026-02-20 01:10:13.131590,2026-02-20 01:10:14.759384,0 days 00:00:01.627794,64,0.3890827500394806,1.4185985615103105e-05,1.4364007889140864e-06,COMPLETE
7,51.59806823730469,2026-02-20 01:10:14.829191,2026-02-20 01:10:16.842895,0 days 00:00:02.013704,32,0.2914637100791998,1.626041730328567e-05,0.0003664843243041441,COMPLETE
8,49.58460311889648,2026-02-20 01:10:16.894230,2026-02-20 01:10:30.127135,0 days 00:00:13.232905,16,0.2805390227966819,0.0002634956264416099,0.00025637314545242355,COMPLETE
9,47.58308334350586,2026-02-20 01:10:30.198809,2026-02-20 01:10:33.181216,0 days 00:00:02.982407,64,0.31313794113084176,2.894618397366721e-05,0.0002796892037773508,COMPLETE
10,47.54249305725098,2026-02-20 01:10:33.272697,2026-02-20 01:10:36.118556,0 days 00:00:02.845859,64,0.20341571382616316,0.00018065032257117601,1.4578560492563517e-05,COMPLETE
11,47.63758487701416,2026-02-20 01:10:36.200483,2026-02-20 01:10:39.007587,0 days 00:00:02.807104,64,0.2064905076594026,0.00018251850731523515,1.6672606052515575e-05,COMPLETE
12,47.58428821563721,2026-02-20 01:10:39.091649,2026-02-20 01:10:41.880193,0 days 00:00:02.788544,64,0.2376028105543271,0.00041871044680119975,2.007492768667662e-05,COMPLETE
13,47.475435447692874,2026-02-20 01:10:41.957544,2026-02-20 01:10:44.868088,0 days 00:00:02.910544,64,0.20159285917872918,0.00010340378913630968,5.362624054810425e-05,COMPLETE
14,47.63616600036621,2026-02-20 01:10:44.962612,2026-02-20 01:10:47.928369,0 days 00:00:02.965757,64,0.3681024697200711,7.44790518600794e-05,6.343592765004946e-05,COMPLETE
15,47.61540851593018,2026-02-20 01:10:48.007340,2026-02-20 01:10:51.008753,0 days 00:00:03.001413,64,0.2547085373372282,0.00012563696598546917,6.843418474283303e-05,COMPLETE
16,47.94701080322265,2026-02-20 01:10:51.082841,2026-02-20 01:11:01.572762,0 days 00:00:10.489921,16,0.2505710450619741,0.0004815228940126767,8.633196119889653e-06,COMPLETE
17,47.52252330780029,2026-02-20 01:11:01.637542,2026-02-20 01:11:04.469435,0 days 00:00:02.831893,64,0.20020617486486567,5.000093267417204e-05,4.430119274605902e-05,COMPLETE
18,47.677371978759766,2026-02-20 01:11:04.547910,2026-02-20 01:11:07.224235,0 days 00:00:02.676325,64,0.3985752399749247,9.318134659054449e-05,9.994646623380847e-05,COMPLETE
19,49.20211219787598,2026-02-20 01:11:07.311399,2026-02-20 01:11:16.988269,0 days 00:00:09.676870,16,0.3337142323007557,0.00032808122217192146,3.2446116277823335e-05,COMPLETE
