number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,44.41172618865967,2026-02-20 01:05:06.413116,2026-02-20 01:05:16.872968,0 days 00:00:10.459852,16,0.2640824947900685,0.0009492434794556951,5.009602234955256e-05,COMPLETE
1,47.840802383422854,2026-02-20 01:05:16.938604,2026-02-20 01:05:19.637148,0 days 00:00:02.698544,64,0.43372614941749155,0.00013901073620595748,1.2233123985663521e-06,COMPLETE
2,47.66998920440674,2026-02-20 01:05:19.750315,2026-02-20 01:05:22.675545,0 days 00:00:02.925230,64,0.3375806364997756,1.0901289894305793e-05,1.5368611169374404e-06,COMPLETE
3,56.083495712280275,2026-02-20 01:05:22.749313,2026-02-20 01:05:32.569002,0 days 00:00:09.819689,16,0.21459946330408386,3.869091521362275e-05,5.13918520802154e-06,COMPLETE
4,47.53941822052002,2026-02-20 01:05:32.630981,2026-02-20 01:05:35.325752,0 days 00:00:02.694771,64,0.30804192372686695,4.6069500893559054e-05,4.77039801983144e-05,COMPLETE
5,47.937807655334474,2026-02-20 01:05:35.408934,2026-02-20 01:05:38.151160,0 days 00:00:02.742226,64,0.2611130075022875,0.0004068606573749195,7.131347774915575e-06,COMPLETE
6,47.60945510864258,2026-02-20 01:05:38.217725,2026-02-20 01:05:40.759501,0 days 00:00:02.541776,64,0.3395125590178555,9.17118242377033e-05,5.168857435469567e-06,COMPLETE
7,47.83637676239014,2026-02-20 01:05:40.829536,2026-02-20 01:05:43.495665,0 days 00:00:02.666129,64,0.40040416145104746,5.0172231540493816e-05,1.1089355436128318e-05,COMPLETE
8,56.07426834106445,2026-02-20 01:05:43.563486,2026-02-20 01:05:51.275968,0 days 00:00:07.712482,16,0.21962194312806627,2.6190980767769226e-05,1.2974876965519255e-06,COMPLETE
9,57.42734298706055,2026-02-20 01:05:51.335619,2026-02-20 01:05:59.300521,0 days 00:00:07.964902,16,0.4429001632589228,1.804653091809943e-05,3.924998599541604e-06,COMPLETE
10,46.01640796661377,2026-02-20 01:05:59.361113,2026-02-20 01:06:07.040527,0 days 00:00:07.679414,32,0.2617789340329256,0.000884122265470332,0.00031464836930507263,COMPLETE
11,45.03783321380615,2026-02-20 01:06:07.104040,2026-02-20 01:06:15.324161,0 days 00:00:08.220121,32,0.275696557326161,0.0008709273200056445,0.0004125729649290048,COMPLETE
12,46.030605506896975,2026-02-20 01:06:15.375488,2026-02-20 01:06:23.234833,0 days 00:00:07.859345,32,0.4993951022348232,0.0008552154390176384,0.0008845934547624102,COMPLETE
13,49.513167190551755,2026-02-20 01:06:23.298096,2026-02-20 01:06:28.630367,0 days 00:00:05.332271,32,0.28453583365611157,0.00034853186935835875,9.150561676092402e-05,COMPLETE
14,49.162911605834964,2026-02-20 01:06:28.693903,2026-02-20 01:06:34.537581,0 days 00:00:05.843678,32,0.24733816697748684,0.00036062270390684097,0.0001282416121652106,COMPLETE
15,45.88905086517334,2026-02-20 01:06:34.653746,2026-02-20 01:06:53.610561,0 days 00:00:18.956815,16,0.3110235762595217,0.0001851332313821308,2.3184308718155193e-05,COMPLETE
16,44.7089656829834,2026-02-20 01:06:53.671883,2026-02-20 01:07:05.426437,0 days 00:00:11.754554,16,0.37490648750189776,0.0005746854371793508,0.000950277389376507,COMPLETE
17,43.62479381561279,2026-02-20 01:07:05.487214,2026-02-20 01:07:16.939275,0 days 00:00:11.452061,16,0.38227151283396615,0.0005025981190737183,0.0001965481700518225,COMPLETE
18,44.740725898742674,2026-02-20 01:07:16.998934,2026-02-20 01:07:37.018508,0 days 00:00:20.019574,16,0.37908657465066964,0.00022552391627885034,0.0001374064375512704,COMPLETE
19,43.84335060119629,2026-02-20 01:07:37.077387,2026-02-20 01:07:50.255061,0 days 00:00:13.177674,16,0.4253949974943232,0.0005259118241565369,3.450016998447998e-05,COMPLETE
