SMILES,MP,MW,Structure_Cluster,MP_bin,Stratify_Label,cv_fold
FC1(F)C(F)(F)C(F)(F)C(C2(C1(F)C1(F)C(F)(F)C(F)(F)C(C(C1(F)C(C2(F)F)(F)F)(F)F)(F)F)F)(F)F,-20.0,624.106,4,0,4_0,3
CCc1ncc[nH]1,82.0,96.133,0,1,0_1,3
S=C(N(C)C)Sc1ccc2c(c1)cccc2,114.0,247.388,5,2,5_2,1
Nc1nc(N)nc(n1)c1ccccc1,227.0,187.206,2,3,2_3,6
NCCNc1ccc(cn1)[N+](=O)[O-],127.0,182.183,2,2,2_2,4
CO[C@@H]1O[C@H]([C@H](O1)C([N+](=O)[O-])([N+](=O)[O-])F)C([N+](=O)[O-])([N+](=O)[O-])F,100.4,348.127,4,1,4_1,3
ClC(C(Cl)(Cl)F)Cl,-82.6,185.84,0,0,0_0,8
COc1cc2CCNCc2c(c1OC)O,187.5,209.245,2,3,2_3,6
CCC(c1cc(cc(c1OC(=O)C=C(C)C)[N+](=O)[O-])[N+](=O)[O-])C,70.0,322.317,4,1,4_1,5
COc1ccc(cc1N)S(=O)(=O)F,62.0,205.21,2,1,2_1,4
COCCNc1n(C)c(=O)n(c(=O)c1C=O)C,137.0,241.247,2,2,2_2,0
OC[C@H]([C@@H](c1ccc(c(c1)OC)OC)O)Oc1c(OC)cccc1OC,110.85,364.394,4,2,4_2,0
OC(=O)CSc1nccc(n1)C,192.0,184.22,2,3,2_3,6
CCCOc1ccccc1OCC(CO)O,70.0,226.272,2,1,2_1,2
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,148.5,386.664,1,2,1_2,9
CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N,189.0,258.324,2,3,2_3,9
O=c1c2ccccc2oc2c1cccc2,175.0,196.205,5,3,5_3,1
OC(=O)c1c(C)cccc1Cl,104.0,170.595,2,1,2_1,2
Clc1ccc2c(c1)C(=NCC(=S)N2CC(F)(F)F)c1ccccc1F,138.25,386.801,4,2,4_2,8
COc1cc2CCN(C(c2cc1O)Cc1ccc(c(c1)OC)OC)C,127.0,343.423,4,2,4_2,5
C1CCCCCCCCCCC1,61.0,168.324,0,1,0_1,1
OC1CCCCC1,24.0,100.161,0,0,0_0,1
OC(=O)C(c1ccccc1)Sc1ccccc1,100.0,244.315,5,1,5_1,2
CCc1cc(CC)cc(c1)C,-74.0,148.249,0,0,0_0,6
Nc1ccc(cc1)S(=O)(=O)Nc1cc(C)nc(n1)C,243.0,278.337,2,3,2_3,7
Cn1cnc(c1Sc1ncnc2c1[nH]cn2)[N+](=O)[O-],243.5,277.269,4,3,4_3,5
