Fold,Best_Val_BCE,Val_Accuracy,Stop_Epoch,Model_Path
0,0.1490632384084165,0.9500850822461713,41,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_0.pt
1,0.15440149941215559,0.9540555870674986,52,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_1.pt
2,0.1591573764037873,0.9466817923993194,42,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_2.pt
3,0.1368646553351677,0.9648326715825298,79,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_3.pt
4,0.1676208395510912,0.9404424276800908,37,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_4.pt
5,0.14774202655202576,0.9477866061293984,47,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_5.pt
6,0.17182452151817934,0.9392735527809307,40,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_6.pt
7,0.1568298454928611,0.952894438138479,50,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_7.pt
8,0.1517516161049051,0.9494892167990919,47,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_8.pt
9,0.12647893389553896,0.9619750283768445,55,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_SVM_best_models/binary_best_fold_9.pt
