number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,30.988966751098634,2025-11-28 11:34:45.429019,2025-11-28 11:36:02.015044,0 days 00:01:16.586025,16,0.444744213355778,0.0001749722174611778,0.00020175571429515904,COMPLETE
1,123.10385341644287,2025-11-28 11:36:02.060981,2025-11-28 11:36:31.920217,0 days 00:00:29.859236,64,0.44693782130942505,0.0004539681167078425,5.437593935773278e-06,COMPLETE
2,29.495232772827148,2025-11-28 11:36:32.007677,2025-11-28 11:37:07.152796,0 days 00:00:35.145119,16,0.30721434524777513,0.0009244713824034128,1.4453667811597852e-06,COMPLETE
3,134.28899841308595,2025-11-28 11:37:07.199079,2025-11-28 11:37:18.020263,0 days 00:00:10.821184,64,0.4875817618493879,2.70844153515337e-05,0.0001451494082331006,COMPLETE
4,133.90944747924806,2025-11-28 11:37:18.075241,2025-11-28 11:37:28.812287,0 days 00:00:10.737046,64,0.41709314670995995,0.00036516002916575624,1.0465654089239151e-06,COMPLETE
5,133.29057083129882,2025-11-28 11:37:28.891861,2025-11-28 11:37:39.905924,0 days 00:00:11.014063,64,0.24519022920813188,4.9714747843920225e-05,5.8108669136147383e-05,COMPLETE
6,30.161278343200685,2025-11-28 11:37:40.038309,2025-11-28 11:39:00.722387,0 days 00:01:20.684078,32,0.2355731077693989,0.00030088510662094355,2.2757733850373294e-05,COMPLETE
7,133.8122329711914,2025-11-28 11:39:00.781189,2025-11-28 11:39:11.545099,0 days 00:00:10.763910,64,0.48805145378132103,0.0004454057924587475,0.0001209684846760289,COMPLETE
8,133.4589485168457,2025-11-28 11:39:11.612282,2025-11-28 11:39:23.285812,0 days 00:00:11.673530,64,0.29590893064634183,3.4100099454638415e-05,8.836508541459638e-06,COMPLETE
9,133.4779800415039,2025-11-28 11:39:23.385365,2025-11-28 11:39:34.415195,0 days 00:00:11.029830,64,0.36643195045049287,0.0001628997630212612,1.3349712316261732e-06,COMPLETE
10,30.9178186416626,2025-11-28 11:39:34.483510,2025-11-28 11:41:25.943105,0 days 00:01:51.459595,16,0.31218039537908276,7.920404189765808e-05,5.06757520992509e-06,COMPLETE
11,28.701308250427246,2025-11-28 11:41:25.989303,2025-11-28 11:42:13.586888,0 days 00:00:47.597585,32,0.20097191897348396,0.0009859171106465327,0.000535875380938952,COMPLETE
12,29.13575134277344,2025-11-28 11:42:13.654879,2025-11-28 11:43:04.169262,0 days 00:00:50.514383,32,0.20628943486846352,0.0008933844014662246,0.0006474405157641316,COMPLETE
13,148.43290100097656,2025-11-28 11:43:04.236415,2025-11-28 11:43:18.847099,0 days 00:00:14.610684,32,0.20049003747762328,1.3585754631671782e-05,0.0007912262473129659,COMPLETE
14,28.8204252243042,2025-11-28 11:43:18.906811,2025-11-28 11:44:06.747165,0 days 00:00:47.840354,32,0.20176563676928033,0.0009761644582371237,0.0009429108642594992,COMPLETE
15,29.595197486877442,2025-11-28 11:44:06.816350,2025-11-28 11:44:59.859500,0 days 00:00:53.043150,32,0.2641511878824937,0.0008823721947275505,0.00038545282313574744,COMPLETE
16,30.816353607177735,2025-11-28 11:44:59.920797,2025-11-28 11:46:49.235057,0 days 00:01:49.314260,32,0.3415021877039595,0.00020397948768409856,0.00030304697557001535,COMPLETE
17,29.61715030670166,2025-11-28 11:46:49.301526,2025-11-28 11:47:57.178872,0 days 00:01:07.877346,32,0.27081869617396487,0.0005533377147776264,0.000974853417462925,COMPLETE
18,31.215105628967287,2025-11-28 11:47:57.234090,2025-11-28 11:52:55.638962,0 days 00:04:58.404872,32,0.22118480755060196,9.543723473107183e-05,5.666944265414066e-05,COMPLETE
19,30.4565092086792,2025-11-28 11:52:55.694376,2025-11-28 11:53:57.193953,0 days 00:01:01.499577,32,0.3740114509489589,0.0006038748970763698,0.0004535238147208605,COMPLETE
