number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,31.12038917541504,2025-11-28 11:54:53.157256,2025-11-28 11:55:37.433950,0 days 00:00:44.276694,16,0.2607698500310369,0.00023072804031077425,2.2505943696204882e-05,COMPLETE
1,32.22671813964844,2025-11-28 11:55:37.481303,2025-11-28 11:56:13.319933,0 days 00:00:35.838630,64,0.37850098203056465,0.000952625212365485,0.00017293520112144056,COMPLETE
2,30.922090148925783,2025-11-28 11:56:13.424188,2025-11-28 11:56:50.673526,0 days 00:00:37.249338,16,0.2882385566145797,0.0003506331573257462,3.031148295685972e-06,COMPLETE
3,31.960063171386718,2025-11-28 11:56:50.719200,2025-11-28 11:57:59.045629,0 days 00:01:08.326429,32,0.42863905998843765,0.0003039842751077363,0.0003923334085300863,COMPLETE
4,31.533511924743653,2025-11-28 11:57:59.114064,2025-11-28 11:58:37.330198,0 days 00:00:38.216134,16,0.47534323321615546,0.00034921709843295105,1.1816743518073902e-06,COMPLETE
5,149.35202331542968,2025-11-28 11:58:37.377148,2025-11-28 11:58:48.518486,0 days 00:00:11.141338,32,0.237768688258623,2.3739401258591743e-05,9.386262480944741e-06,COMPLETE
6,148.83079528808594,2025-11-28 11:58:48.580215,2025-11-28 11:58:59.789286,0 days 00:00:11.209071,32,0.3665655396062423,1.7694549097701912e-05,2.47381486294005e-05,COMPLETE
7,30.81257381439209,2025-11-28 11:58:59.868839,2025-11-28 11:59:31.287083,0 days 00:00:31.418244,16,0.20712249530668125,0.0004103336585355258,8.854359151524816e-05,COMPLETE
8,31.70955581665039,2025-11-28 11:59:31.370592,2025-11-28 12:01:48.076751,0 days 00:02:16.706159,32,0.22240141198858374,0.00014504026863524584,0.0001527002172911673,COMPLETE
9,149.0885223388672,2025-11-28 12:01:48.140997,2025-11-28 12:01:59.888852,0 days 00:00:11.747855,32,0.33866990992553486,3.929884722771856e-05,0.0002470130435417999,COMPLETE
10,31.740885925292968,2025-11-28 12:01:59.953701,2025-11-28 12:02:53.652898,0 days 00:00:53.699197,64,0.3076538183640444,0.0008936992645773132,0.0008306971823710738,COMPLETE
11,31.6343132019043,2025-11-28 12:02:53.727406,2025-11-28 12:04:35.053001,0 days 00:01:41.325595,16,0.2888377117935854,6.137721588394141e-05,2.6707080440755457e-06,COMPLETE
12,30.866355323791502,2025-11-28 12:04:35.111577,2025-11-28 12:05:06.212330,0 days 00:00:31.100753,16,0.21697208916077138,0.0004424590654138512,5.75461943447803e-06,COMPLETE
13,30.577153587341307,2025-11-28 12:05:06.256426,2025-11-28 12:05:41.775560,0 days 00:00:35.519134,16,0.20436189852988554,0.0005660149145775064,5.79266801053233e-05,COMPLETE
14,31.21032009124756,2025-11-28 12:05:41.821149,2025-11-28 12:06:44.388851,0 days 00:01:02.567702,16,0.20152906843299898,0.00012084679776428385,6.721346017706813e-05,COMPLETE
15,30.543045043945312,2025-11-28 12:06:44.431450,2025-11-28 12:07:20.240407,0 days 00:00:35.808957,16,0.25337976695847986,0.0005926078828465644,7.768451355609599e-05,COMPLETE
16,31.10763473510742,2025-11-28 12:07:20.283152,2025-11-28 12:08:13.451884,0 days 00:00:53.168732,16,0.2585745556055803,0.00017162005544256968,4.9011413136873455e-05,COMPLETE
17,32.037252235412595,2025-11-28 12:08:13.496935,2025-11-28 12:09:20.317326,0 days 00:01:06.820391,64,0.32281472472833045,0.0006968038235946252,1.8359785335920757e-05,COMPLETE
18,147.79147338867188,2025-11-28 12:09:20.380742,2025-11-28 12:09:47.174959,0 days 00:00:26.794217,16,0.26356293247456575,1.0383860931319842e-05,4.772736289228552e-05,COMPLETE
19,31.649085426330565,2025-11-28 12:09:47.218397,2025-11-28 12:11:16.761661,0 days 00:01:29.543264,16,0.40766196056251647,7.970219171819235e-05,0.0004948492466412232,COMPLETE
