number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,30.73602752685547,2025-11-28 11:11:00.768549,2025-11-28 11:15:34.035539,0 days 00:04:33.266990,32,0.400151792469116,0.00011557226837313563,5.9058781350156045e-06,COMPLETE
1,28.16815299987793,2025-11-28 11:15:34.103611,2025-11-28 11:16:47.323033,0 days 00:01:13.219422,16,0.26188139748202827,0.00031222181305462824,0.0007378896256966818,COMPLETE
2,29.081468200683595,2025-11-28 11:16:47.368580,2025-11-28 11:18:57.658782,0 days 00:02:10.290202,16,0.24780559618831335,0.00011042270409460103,8.59864870077765e-06,COMPLETE
3,133.75719604492187,2025-11-28 11:18:57.704133,2025-11-28 11:19:11.607109,0 days 00:00:13.902976,64,0.4217818314720987,0.00023550830470715542,3.755898348816439e-06,COMPLETE
4,143.2831008911133,2025-11-28 11:19:11.679390,2025-11-28 11:20:01.297596,0 days 00:00:49.618206,16,0.2822018141590169,1.9216588637323435e-05,2.3475254752177695e-05,COMPLETE
5,134.0713851928711,2025-11-28 11:20:01.342421,2025-11-28 11:20:15.559368,0 days 00:00:14.216947,64,0.47012058298945675,5.198043668848045e-05,0.0008437943228195316,COMPLETE
6,133.84172439575195,2025-11-28 11:20:15.668425,2025-11-28 11:20:29.734270,0 days 00:00:14.065845,64,0.4645304095262591,1.715123433854199e-05,0.0006830946494088975,COMPLETE
7,29.76896743774414,2025-11-28 11:20:29.825471,2025-11-28 11:22:06.453310,0 days 00:01:36.627839,32,0.4533089133163507,0.0004452389223339363,1.3810636738120653e-05,COMPLETE
8,134.49431838989258,2025-11-28 11:22:06.519956,2025-11-28 11:22:20.577715,0 days 00:00:14.057759,64,0.496777105494634,7.13648762395953e-05,0.0007316866571343713,COMPLETE
9,134.52369384765626,2025-11-28 11:22:20.662156,2025-11-28 11:22:34.799095,0 days 00:00:14.136939,64,0.49581489642419607,0.0001705068336115676,9.186636165009289e-05,COMPLETE
10,27.435853004455566,2025-11-28 11:22:34.868481,2025-11-28 11:23:14.070077,0 days 00:00:39.201596,16,0.20344893170381617,0.0009398146877258498,0.00013210231991945263,COMPLETE
11,27.700025749206542,2025-11-28 11:23:14.115839,2025-11-28 11:23:54.042068,0 days 00:00:39.926229,16,0.20206059326331807,0.0008255424598438478,0.0001319123714291476,COMPLETE
12,27.78772850036621,2025-11-28 11:23:54.088637,2025-11-28 11:24:39.949414,0 days 00:00:45.860777,16,0.20643326857457464,0.0009592006945440679,0.00011253237843864176,COMPLETE
13,27.279753303527833,2025-11-28 11:24:39.994824,2025-11-28 11:25:25.488061,0 days 00:00:45.493237,16,0.3271816853538033,0.0009685192624378239,0.00011013733265565741,COMPLETE
14,27.78112201690674,2025-11-28 11:25:25.533493,2025-11-28 11:26:26.225031,0 days 00:01:00.691538,16,0.3397708051405571,0.000563276733621395,5.389296273908411e-05,COMPLETE
15,27.967802238464355,2025-11-28 11:26:26.269864,2025-11-28 11:27:18.651575,0 days 00:00:52.381711,16,0.3248023107546846,0.0005303221504229886,1.1047096120427643e-06,COMPLETE
16,49.465775871276854,2025-11-28 11:27:18.699949,2025-11-28 11:30:44.979827,0 days 00:03:26.279878,16,0.30373768936582124,4.213529374980356e-05,0.00024020177529025794,COMPLETE
17,29.559507369995117,2025-11-28 11:30:45.025232,2025-11-28 11:32:41.768870,0 days 00:01:56.743638,32,0.3807848758720244,0.00031804967657805166,0.0002478127355253085,COMPLETE
18,148.500634765625,2025-11-28 11:32:41.817856,2025-11-28 11:33:21.721146,0 days 00:00:39.903290,16,0.36157608100652666,1.0111393409164094e-05,3.9862180125959476e-05,COMPLETE
19,28.27597312927246,2025-11-28 11:33:21.768638,2025-11-28 11:34:00.359779,0 days 00:00:38.591141,16,0.23266036162453804,0.000982125755881195,0.00022058574816744656,COMPLETE
