number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,157.97113342285155,2025-12-05 00:21:56.522427,2025-12-05 00:22:10.241846,0 days 00:00:13.719419,64,0.22494258906490983,0.00014919788519155547,1.3819180678102851e-05,COMPLETE
1,159.0111297607422,2025-12-05 00:22:10.323840,2025-12-05 00:22:23.572946,0 days 00:00:13.249106,64,0.22038905788844054,0.0002939287982571838,3.4762544896711657e-06,COMPLETE
2,29.296437454223632,2025-12-05 00:22:23.645753,2025-12-05 00:23:18.475470,0 days 00:00:54.829717,16,0.380701068695389,0.0009644414083868787,2.3172231219579366e-05,COMPLETE
3,29.479144477844237,2025-12-05 00:23:18.527139,2025-12-05 00:24:18.347755,0 days 00:00:59.820616,16,0.25898624206169224,0.0005122329377343412,7.776201024421519e-05,COMPLETE
4,30.585802459716795,2025-12-05 00:24:18.398628,2025-12-05 00:26:16.711884,0 days 00:01:58.313256,32,0.35936436343471045,0.00040632507165052413,0.0001180544469330828,COMPLETE
5,30.80115203857422,2025-12-05 00:26:16.824183,2025-12-05 00:28:04.944871,0 days 00:01:48.120688,16,0.2861460151382875,0.0001783495127544381,3.466475118741246e-05,COMPLETE
6,30.512824249267577,2025-12-05 00:28:04.996822,2025-12-05 00:30:01.441141,0 days 00:01:56.444319,16,0.2862379398230604,0.0002168803975475479,2.378597765840027e-05,COMPLETE
7,158.98976287841796,2025-12-05 00:30:01.492969,2025-12-05 00:30:20.501280,0 days 00:00:19.008311,64,0.3924168757313101,0.0007394273240130647,0.0008282706441140161,COMPLETE
8,183.046044921875,2025-12-05 00:30:20.574066,2025-12-05 00:30:38.775936,0 days 00:00:18.201870,32,0.48658627486901984,2.228019385608155e-05,3.957591872673801e-05,COMPLETE
9,158.33686370849608,2025-12-05 00:30:38.851750,2025-12-05 00:30:57.367725,0 days 00:00:18.515975,64,0.2685363631818345,0.00015723662098900585,0.00012697214475944403,COMPLETE
10,169.4230514526367,2025-12-05 00:30:57.424543,2025-12-05 00:31:50.195227,0 days 00:00:52.770684,16,0.4318667180720602,4.1025188474013666e-05,2.0667117908969205e-06,COMPLETE
11,29.36348476409912,2025-12-05 00:31:50.246793,2025-12-05 00:32:47.104525,0 days 00:00:56.857732,16,0.33344875036570903,0.000990375915772382,0.00016809339739361432,COMPLETE
12,29.562773132324217,2025-12-05 00:32:47.155544,2025-12-05 00:33:49.043406,0 days 00:01:01.887862,16,0.3376346682007927,0.0007708849102651097,0.0004628447186090195,COMPLETE
13,117.17045631408692,2025-12-05 00:33:49.095037,2025-12-05 00:35:51.827862,0 days 00:02:02.732825,16,0.34354644811518226,6.533445417705264e-05,7.102716894200753e-06,COMPLETE
14,30.749310302734376,2025-12-05 00:35:51.884194,2025-12-05 00:36:52.943376,0 days 00:01:01.059182,16,0.4130805703058905,0.0009548942762220549,0.0001985091027647336,COMPLETE
15,183.63097076416017,2025-12-05 00:36:52.995208,2025-12-05 00:37:29.021574,0 days 00:00:36.026366,16,0.47008285338924355,1.2000359241362949e-05,0.00032236355020086907,COMPLETE
16,30.80930938720703,2025-12-05 00:37:29.071388,2025-12-05 00:39:35.238533,0 days 00:02:06.167145,32,0.31358855857692336,0.00043127321939098463,1.035310062502669e-06,COMPLETE
17,102.91522102355957,2025-12-05 00:39:35.303855,2025-12-05 00:41:52.041678,0 days 00:02:16.737823,16,0.36639864658599935,7.563212299157834e-05,9.705801747118207e-06,COMPLETE
18,30.955881881713868,2025-12-05 00:41:52.093610,2025-12-05 00:42:56.046974,0 days 00:01:03.953364,16,0.4539056358174585,0.0009999379627835757,5.992288982408664e-05,COMPLETE
19,31.016398239135743,2025-12-05 00:42:56.097373,2025-12-05 00:45:02.572444,0 days 00:02:06.475071,32,0.39523512894175067,0.0005354561921612891,1.932723976416452e-05,COMPLETE
