number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,158.0345428466797,2025-12-05 00:46:02.342341,2025-12-05 00:46:16.893646,0 days 00:00:14.551305,64,0.34966340957200676,0.0001282654286338122,3.02268532016548e-05,COMPLETE
1,183.03279571533204,2025-12-05 00:46:16.976810,2025-12-05 00:46:28.414481,0 days 00:00:11.437671,32,0.41068276077627947,1.1648823000177234e-05,5.936716915207179e-06,COMPLETE
2,159.2137420654297,2025-12-05 00:46:28.495564,2025-12-05 00:47:17.447790,0 days 00:00:48.952226,16,0.39600488397787065,4.976908085938626e-05,0.00041063424707088236,COMPLETE
3,183.09483489990234,2025-12-05 00:47:17.500833,2025-12-05 00:47:28.854153,0 days 00:00:11.353320,32,0.48368016717019796,1.3851963144275248e-05,3.1187689431530345e-06,COMPLETE
4,161.8135726928711,2025-12-05 00:47:28.915887,2025-12-05 00:48:15.430613,0 days 00:00:46.514726,16,0.2668900943144562,4.4008790486783815e-05,1.1163781895746108e-06,COMPLETE
5,32.71744365692139,2025-12-05 00:48:15.482258,2025-12-05 00:49:14.543986,0 days 00:00:59.061728,16,0.24639407219250106,0.00028106355446248923,4.9837864784891e-06,COMPLETE
6,183.63453369140626,2025-12-05 00:49:14.594281,2025-12-05 00:49:36.066668,0 days 00:00:21.472387,16,0.40794942232189224,2.0693622458248983e-05,0.00010247171748891552,COMPLETE
7,34.270637321472165,2025-12-05 00:49:36.121726,2025-12-05 00:51:09.442926,0 days 00:01:33.321200,16,0.47143815476555073,0.00015722954038232013,5.081747915876197e-06,COMPLETE
8,32.54322528839111,2025-12-05 00:51:09.493272,2025-12-05 00:51:56.904286,0 days 00:00:47.411014,16,0.3683605023351189,0.000604583103534303,3.82195272103944e-06,COMPLETE
9,158.1194610595703,2025-12-05 00:51:56.954356,2025-12-05 00:52:10.457539,0 days 00:00:13.503183,64,0.3605875207342195,6.43666727571786e-05,1.3782761831103827e-06,COMPLETE
10,32.64070167541504,2025-12-05 00:52:10.535870,2025-12-05 00:53:11.100948,0 days 00:01:00.565078,32,0.30396315914941463,0.0008743147764379403,2.0856388364913452e-05,COMPLETE
11,32.55817413330078,2025-12-05 00:53:11.170627,2025-12-05 00:54:07.573210,0 days 00:00:56.402583,32,0.3220327908666294,0.000912033775199381,2.562380807787072e-05,COMPLETE
12,31.462849807739257,2025-12-05 00:54:07.652369,2025-12-05 00:55:03.818809,0 days 00:00:56.166440,32,0.2043423471912558,0.0009623573786290435,0.00010642267644671771,COMPLETE
13,32.32514667510986,2025-12-05 00:55:03.891883,2025-12-05 00:56:37.450650,0 days 00:01:33.558767,32,0.217193122097498,0.0004096666063880831,0.00012840340372505233,COMPLETE
14,32.51837921142578,2025-12-05 00:56:37.522395,2025-12-05 00:58:13.367980,0 days 00:01:35.845585,32,0.20908997105204083,0.0003699539997525223,0.00016201550450799587,COMPLETE
15,32.401242065429685,2025-12-05 00:58:13.456920,2025-12-05 00:59:40.904571,0 days 00:01:27.447651,32,0.20008654026342954,0.00039156640712936124,9.619810323811309e-05,COMPLETE
16,92.12569217681884,2025-12-05 00:59:40.996092,2025-12-05 01:02:00.930825,0 days 00:02:19.934733,32,0.25080971075609,0.00019178169457784348,0.0007809719338837207,COMPLETE
17,33.215766525268556,2025-12-05 01:02:01.009065,2025-12-05 01:03:21.856801,0 days 00:01:20.847736,32,0.28829379145605555,0.00045398457919844403,0.0002536464583215527,COMPLETE
18,33.71834659576416,2025-12-05 01:03:21.921740,2025-12-05 01:06:14.131281,0 days 00:02:52.209541,32,0.2296745116345836,0.0002335795015650642,1.1123854957468706e-05,COMPLETE
19,158.24173126220703,2025-12-05 01:06:14.202748,2025-12-05 01:06:28.920455,0 days 00:00:14.717707,64,0.2785778602219182,0.0006317580944117068,5.4877093063186995e-05,COMPLETE
