number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,158.11251678466797,2025-12-04 23:49:09.181437,2025-12-04 23:49:28.099101,0 days 00:00:18.917664,64,0.44028595795806563,8.533239705498054e-05,0.0002251904148761943,COMPLETE
1,158.10798187255858,2025-12-04 23:49:28.167908,2025-12-04 23:49:46.636948,0 days 00:00:18.469040,64,0.22246873308808496,7.767781622755895e-05,2.770411121843244e-06,COMPLETE
2,137.0311548233032,2025-12-04 23:49:46.723259,2025-12-04 23:52:57.688309,0 days 00:03:10.965050,32,0.34002138024553047,0.00011036437802472296,0.0001615491191293489,COMPLETE
3,32.63458938598633,2025-12-04 23:52:57.756591,2025-12-04 23:56:19.016659,0 days 00:03:21.260068,16,0.4285059331374471,0.00011044390227976003,1.725677306370373e-06,COMPLETE
4,29.040365409851074,2025-12-04 23:56:19.067440,2025-12-04 23:57:32.950243,0 days 00:01:13.882803,32,0.23481209244322687,0.0009509712262472234,2.9938748664608824e-06,COMPLETE
5,29.13663444519043,2025-12-04 23:57:33.012778,2025-12-04 23:59:01.921968,0 days 00:01:28.909190,32,0.28777438721221915,0.0007665569396414445,7.836178530676244e-06,COMPLETE
6,158.64202575683595,2025-12-04 23:59:01.991393,2025-12-04 23:59:19.697918,0 days 00:00:17.706525,64,0.3947688358485868,0.00048151049311897934,2.0634823134074674e-05,COMPLETE
7,29.899610137939455,2025-12-04 23:59:19.809483,2025-12-05 00:00:45.305314,0 days 00:01:25.495831,32,0.23273531455746044,0.000888635147133482,6.350038098442501e-06,COMPLETE
8,182.89658813476564,2025-12-05 00:00:45.380890,2025-12-05 00:01:05.299477,0 days 00:00:19.918587,32,0.365189088427551,3.116281129903959e-05,0.00012481033969727798,COMPLETE
9,163.79861164093018,2025-12-05 00:01:05.375471,2025-12-05 00:02:28.671986,0 days 00:01:23.296515,32,0.32716803997808575,9.210546519765851e-05,1.6700991417254166e-05,COMPLETE
10,186.43609771728515,2025-12-05 00:02:28.740318,2025-12-05 00:03:02.098704,0 days 00:00:33.358386,16,0.27151773076097485,1.0030970947122913e-05,0.0008963441267262681,COMPLETE
11,29.811545753479002,2025-12-05 00:03:02.150583,2025-12-05 00:05:23.175063,0 days 00:02:21.024480,32,0.28189394240716126,0.00038649975003732056,6.052664895352277e-06,COMPLETE
12,28.501889991760255,2025-12-05 00:05:23.241307,2025-12-05 00:06:35.548823,0 days 00:01:12.307516,32,0.28245314287976747,0.0009952856227734281,1.0222125578606323e-06,COMPLETE
13,30.799921607971193,2025-12-05 00:06:35.629444,2025-12-05 00:09:44.930587,0 days 00:03:09.301143,32,0.20042973805219916,0.0002720314134171004,1.5033098351448673e-06,COMPLETE
14,28.5435941696167,2025-12-05 00:09:45.010897,2025-12-05 00:11:06.582169,0 days 00:01:21.571272,32,0.25823553040111064,0.0009959783159064995,1.1485696563301831e-06,COMPLETE
15,31.841981506347658,2025-12-05 00:11:06.660248,2025-12-05 00:13:09.475447,0 days 00:02:02.815199,16,0.48129998751846925,0.00024546328742320266,1.128733564974445e-06,COMPLETE
16,38.56598091125488,2025-12-05 00:13:09.526611,2025-12-05 00:17:12.224474,0 days 00:04:02.697863,32,0.303970370792476,0.00019840734843209188,5.5004348822591326e-05,COMPLETE
17,29.98204402923584,2025-12-05 00:17:12.302904,2025-12-05 00:19:14.746696,0 days 00:02:02.443792,32,0.2577904169134796,0.00048493123705370416,3.3290746879510823e-06,COMPLETE
18,158.33495025634767,2025-12-05 00:19:14.808778,2025-12-05 00:19:31.838872,0 days 00:00:17.030094,64,0.3128532130085619,4.3567165582526184e-05,1.0470930774443315e-06,COMPLETE
19,28.115879440307616,2025-12-05 00:19:31.937413,2025-12-05 00:20:46.730967,0 days 00:01:14.793554,16,0.378485069828729,0.000574341307589987,1.1971585459489454e-05,COMPLETE
