Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,31.39669167027793,0.6452698261015706,0.6452957820056491,214,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_0.pt
1,31.130486003711905,0.6498972675947663,0.6508586845018967,153,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_1.pt
2,31.339472312168393,0.6226974173937493,0.6228348232312072,160,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_2.pt
3,32.50274320351025,0.6006363427998359,0.6007927577494824,149,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_3.pt
4,31.4752198635494,0.6493369696844864,0.6493888379069179,193,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_4.pt
5,31.946546565634296,0.626015054063548,0.6262967943129316,145,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_5.pt
6,33.170745315546185,0.6114403752964416,0.6114970793240252,116,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_6.pt
7,31.704006486701758,0.6460939190219668,0.6462165098047714,199,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_7.pt
8,31.413640612567733,0.6384579970183786,0.638578398668501,83,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_8.pt
9,32.45030995742846,0.5982483262083022,0.5982510876904716,137,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/int_Mw_best_models/low_Mw_best_fold_9.pt
