Fold,RMSE,R2,Q2,Stop_Epoch,Model_Path
0,33.58401107788086,0.8410592079162598,0.841337,136,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_0.pt
1,35.612430572509766,0.8201459050178528,0.8201589,88,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_1.pt
2,32.7457275390625,0.8496004343032837,0.8496011,121,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_2.pt
3,35.055118560791016,0.8243677020072937,0.8245354,140,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_3.pt
4,33.99846267700195,0.829899787902832,0.830034,136,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_4.pt
5,33.42962646484375,0.8436551094055176,0.8436997,257,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_5.pt
6,33.37886428833008,0.8449701070785522,0.845058,114,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_6.pt
7,34.07453536987305,0.8414505124092102,0.84148586,136,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_7.pt
8,32.916648864746094,0.8473038673400879,0.84746176,89,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_8.pt
9,33.99345779418945,0.8312269449234009,0.83122844,126,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/low&int_MP_best_models/low&int_MP_best_fold_9.pt
