number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,28.328953361511232,2025-11-26 23:08:11.378688,2025-11-26 23:19:26.060934,0 days 00:11:14.682246,16,0.37674370754455233,6.473413113228211e-05,4.5345027467970436e-06,COMPLETE
1,33.83129997253418,2025-11-26 23:19:26.109990,2025-11-26 23:54:34.547159,0 days 00:35:08.437169,64,0.3157944591108363,4.1331299478731e-05,0.0005318943616210762,COMPLETE
2,27.435239791870117,2025-11-26 23:54:34.627592,2025-11-27 00:13:52.746153,0 days 00:19:18.118561,32,0.2550461244640953,7.373967767300105e-05,3.200329375780256e-06,COMPLETE
3,28.112580490112304,2025-11-27 00:13:52.815994,2025-11-27 00:24:13.023213,0 days 00:10:20.207219,64,0.4660031569768052,0.0002437516998710856,0.00033487175459079446,COMPLETE
4,26.785520935058592,2025-11-27 00:24:13.093918,2025-11-27 00:31:01.057637,0 days 00:06:47.963719,16,0.2536402046310158,0.00014694803117834776,3.723423760145118e-05,COMPLETE
5,27.50608959197998,2025-11-27 00:31:01.104392,2025-11-27 00:38:55.057639,0 days 00:07:53.953247,16,0.33812795656246714,0.00010680634698867962,8.351927975167488e-06,COMPLETE
6,27.03048973083496,2025-11-27 00:38:55.102792,2025-11-27 00:45:56.697461,0 days 00:07:01.594669,32,0.4185219369072449,0.00036304537464670444,7.98117171746811e-06,COMPLETE
7,33.764197540283206,2025-11-27 00:45:56.781482,2025-11-27 01:05:03.366717,0 days 00:19:06.585235,16,0.3262705248055459,2.7455977416701612e-05,2.1551741697436474e-06,COMPLETE
8,37.14819488525391,2025-11-27 01:05:03.411278,2025-11-27 01:41:11.434109,0 days 00:36:08.022831,64,0.4729650270631416,4.098500534988678e-05,0.0006036542257957725,COMPLETE
9,28.60887565612793,2025-11-27 01:41:11.507194,2025-11-27 01:55:05.098664,0 days 00:13:53.591470,32,0.47650107957035864,0.00012346427970367179,0.00019764515491976656,COMPLETE
10,80.5028034210205,2025-11-27 01:55:05.168262,2025-11-27 02:07:43.899810,0 days 00:12:38.731548,16,0.20334314712925197,1.0373347858939266e-05,5.5907986227099686e-05,COMPLETE
11,26.457653999328613,2025-11-27 02:07:43.944173,2025-11-27 02:12:41.449731,0 days 00:04:57.505558,32,0.40574026324358015,0.0008890239786617214,1.8902623741277862e-05,COMPLETE
12,25.604306602478026,2025-11-27 02:12:41.514699,2025-11-27 02:17:38.213737,0 days 00:04:56.699038,32,0.2753865923124486,0.0009611855030455776,3.014346581236039e-05,COMPLETE
13,26.274516296386718,2025-11-27 02:17:38.290222,2025-11-27 02:22:44.241204,0 days 00:05:05.950982,32,0.3896373732427288,0.000958894149089967,0.00010306991891077898,COMPLETE
14,25.50505847930908,2025-11-27 02:22:44.309797,2025-11-27 02:28:29.505878,0 days 00:05:45.196081,32,0.2848691661640619,0.0009872920681141691,0.00011339393930935215,COMPLETE
15,25.727203369140625,2025-11-27 02:28:29.562896,2025-11-27 02:35:47.425861,0 days 00:07:17.862965,32,0.2821091810965359,0.0004796696330001247,9.981088244598986e-05,COMPLETE
16,25.330937767028807,2025-11-27 02:35:47.490884,2025-11-27 02:42:20.451002,0 days 00:06:32.960118,32,0.2063346840596343,0.000530502601863805,2.0944697445133105e-05,COMPLETE
17,25.510782051086426,2025-11-27 02:42:20.510670,2025-11-27 02:48:48.301388,0 days 00:06:27.790718,32,0.2038057033105933,0.0004883351822499514,1.5730513180002308e-05,COMPLETE
18,25.74941921234131,2025-11-27 02:48:48.365731,2025-11-27 02:58:16.013895,0 days 00:09:27.648164,32,0.23307271108729613,0.0002598783987278123,0.00011211526373457475,COMPLETE
19,25.856756973266602,2025-11-27 02:58:16.070479,2025-11-27 03:04:02.418775,0 days 00:05:46.348296,32,0.29785353752940386,0.0005798643523490936,1.2984948034818775e-06,COMPLETE
