number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,58.00908432006836,2025-11-27 03:11:09.646775,2025-11-27 03:31:42.582700,0 days 00:20:32.935925,64,0.46681699491043827,1.987902072748039e-05,5.257494760585582e-06,COMPLETE
1,40.57907829284668,2025-11-27 03:31:42.670177,2025-11-27 03:44:15.103925,0 days 00:12:32.433748,16,0.20649917724608524,2.9010414140743117e-05,1.4785162982291385e-06,COMPLETE
2,31.500017356872558,2025-11-27 03:44:15.149664,2025-11-27 03:46:53.760038,0 days 00:02:38.610374,16,0.4373697384745262,0.0007378453928174676,5.125107038790089e-06,COMPLETE
3,57.15372734069824,2025-11-27 03:46:53.806132,2025-11-27 03:59:21.279306,0 days 00:12:27.473174,32,0.2525292029404793,2.383868373292774e-05,1.9301876141193023e-05,COMPLETE
4,56.4262149810791,2025-11-27 03:59:21.337344,2025-11-27 04:18:52.995663,0 days 00:19:31.658319,64,0.3831260933584438,2.069057264214471e-05,9.67920806383848e-06,COMPLETE
5,50.69714508056641,2025-11-27 04:18:53.049061,2025-11-27 04:33:32.411662,0 days 00:14:39.362601,32,0.4092295209400107,3.313202508335154e-05,6.92289925294096e-05,COMPLETE
6,68.24202308654785,2025-11-27 04:33:32.484644,2025-11-27 04:46:16.356190,0 days 00:12:43.871546,32,0.20120182001789647,1.8423092997557883e-05,1.1480655548163195e-05,COMPLETE
7,30.868344497680663,2025-11-27 04:46:16.407283,2025-11-27 04:52:14.678594,0 days 00:05:58.271311,64,0.3110058995738326,0.0003026383158051059,3.481809156667882e-06,COMPLETE
8,30.340069198608397,2025-11-27 04:52:14.762982,2025-11-27 04:55:34.849633,0 days 00:03:20.086651,32,0.2784982899110382,0.0008558218972293992,2.0875249337881477e-06,COMPLETE
9,31.863536262512206,2025-11-27 04:55:34.940520,2025-11-27 05:03:17.279392,0 days 00:07:42.338872,16,0.31690017824743627,7.346634975294734e-05,0.00031388330401205104,COMPLETE
10,30.267506980895995,2025-11-27 05:03:17.324466,2025-11-27 05:06:39.076595,0 days 00:03:21.752129,32,0.2685552060787501,0.0009289135603230338,0.00010687521830754385,COMPLETE
11,30.258401298522948,2025-11-27 05:06:39.144477,2025-11-27 05:10:38.577783,0 days 00:03:59.433306,32,0.2736554821155517,0.0008367297850084652,7.865440900409102e-05,COMPLETE
12,30.518887329101563,2025-11-27 05:10:38.641987,2025-11-27 05:15:45.708471,0 days 00:05:07.066484,32,0.2661834913421995,0.0003236437953208853,9.205655430148389e-05,COMPLETE
13,30.853083992004393,2025-11-27 05:15:45.778016,2025-11-27 05:20:53.137946,0 days 00:05:07.359930,32,0.3482629914266476,0.00035249520167735334,0.0005417250257622199,COMPLETE
14,30.67753505706787,2025-11-27 05:20:53.201423,2025-11-27 05:29:25.158391,0 days 00:08:31.956968,32,0.24482467568646205,0.00014029475285628598,0.00014334893358309262,COMPLETE
15,30.724421119689943,2025-11-27 05:29:25.217895,2025-11-27 05:33:18.400891,0 days 00:03:53.182996,32,0.3351560548127234,0.000524224079165963,3.729269115045183e-05,COMPLETE
16,31.178814697265626,2025-11-27 05:33:18.460179,2025-11-27 05:43:41.584070,0 days 00:10:23.123891,32,0.27655192968866765,0.00011144511640059259,0.0003455048497292195,COMPLETE
17,30.363908958435058,2025-11-27 05:43:41.646526,2025-11-27 05:47:20.829900,0 days 00:03:39.183374,32,0.30062793681959193,0.0009975218937384226,0.00018394269984262106,COMPLETE
18,30.867131614685057,2025-11-27 05:47:20.888645,2025-11-27 05:51:37.134704,0 days 00:04:16.246059,16,0.23089201290992553,0.00017280094806564538,0.0008496100251306587,COMPLETE
19,35.20674915313721,2025-11-27 05:51:37.179645,2025-11-27 06:10:38.596448,0 days 00:19:01.416803,64,0.36993712596744677,6.780147747231739e-05,3.1933985768447285e-05,COMPLETE
