number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,113.79931106567383,2025-11-26 18:09:04.584195,2025-11-26 18:21:35.120968,0 days 00:12:30.536773,64,0.2957239995910009,1.5068838110206386e-05,0.00030500822700928464,COMPLETE
1,25.03078727722168,2025-11-26 18:21:35.204981,2025-11-26 18:39:39.511976,0 days 00:18:04.306995,64,0.3149994995026161,0.00016095463694795547,0.00016875342242018211,COMPLETE
2,24.403956031799318,2025-11-26 18:39:39.565135,2025-11-26 18:53:42.212558,0 days 00:14:02.647423,64,0.22012184227676246,0.00025302844759716525,8.325080365761634e-05,COMPLETE
3,41.085211181640624,2025-11-26 18:53:42.313997,2025-11-26 19:35:43.142417,0 days 00:42:00.828420,32,0.4796198454681735,3.114577546872754e-05,1.9551103943551357e-05,COMPLETE
4,24.64725456237793,2025-11-26 19:35:43.200242,2025-11-26 19:54:33.300914,0 days 00:18:50.100672,32,0.20162975884578865,0.00011412154848370678,7.466090744514904e-06,COMPLETE
5,24.20251121520996,2025-11-26 19:54:33.369018,2025-11-26 20:01:20.935744,0 days 00:06:47.566726,32,0.4136280624066462,0.000580120555861829,3.9073741540982756e-05,COMPLETE
6,44.63722381591797,2025-11-26 20:01:20.989149,2025-11-26 20:30:32.194720,0 days 00:29:11.205571,16,0.44681260819959057,1.699633360606592e-05,2.8236656628870165e-05,COMPLETE
7,26.407038307189943,2025-11-26 20:30:32.241326,2025-11-26 20:57:05.740050,0 days 00:26:33.498724,64,0.30584939463299693,8.259349905592137e-05,9.735800982746857e-06,COMPLETE
8,26.25141487121582,2025-11-26 20:57:05.811355,2025-11-26 21:11:31.558807,0 days 00:14:25.747452,16,0.3403433277951735,7.235327988348555e-05,0.00026170763640519375,COMPLETE
9,24.742207717895507,2025-11-26 21:11:31.602375,2025-11-26 21:17:55.044921,0 days 00:06:23.442546,16,0.21197015538199837,0.0002649684647722536,0.00043107094702259433,COMPLETE
10,24.16460552215576,2025-11-26 21:17:55.090801,2025-11-26 21:23:55.728878,0 days 00:06:00.638077,32,0.4162284009740536,0.0009177919515302943,1.237882541740007e-06,COMPLETE
11,24.175404930114745,2025-11-26 21:23:55.790563,2025-11-26 21:30:20.558287,0 days 00:06:24.767724,32,0.4078229521811193,0.0008563431329073628,1.1332629395812551e-06,COMPLETE
12,24.189771461486817,2025-11-26 21:30:20.627897,2025-11-26 21:37:57.063030,0 days 00:07:36.435133,32,0.4009259597828251,0.0008976385369713829,1.093212770665571e-06,COMPLETE
13,24.136110687255858,2025-11-26 21:37:57.131145,2025-11-26 21:46:06.131499,0 days 00:08:09.000354,32,0.36897159729501955,0.0005379254821112719,1.0500448112267149e-06,COMPLETE
14,24.19971046447754,2025-11-26 21:46:06.198795,2025-11-26 21:55:04.368931,0 days 00:08:58.170136,32,0.3701276544348891,0.0004170649723977567,3.5765954442061693e-06,COMPLETE
15,24.44057140350342,2025-11-26 21:55:04.420107,2025-11-26 22:03:21.348388,0 days 00:08:16.928281,32,0.47904521613683293,0.0004588052360398756,2.369377464386573e-06,COMPLETE
16,24.1851526260376,2025-11-26 22:03:21.417986,2025-11-26 22:09:21.940378,0 days 00:06:00.522392,32,0.3810361071949463,0.0009314123245526875,0.0009164382064169289,COMPLETE
17,24.424124336242677,2025-11-26 22:09:22.002883,2025-11-26 22:21:28.911955,0 days 00:12:06.909072,32,0.4443495289885695,0.00026924991102379736,2.827620265640355e-06,COMPLETE
18,34.60728378295899,2025-11-26 22:21:28.970748,2025-11-26 22:56:22.966587,0 days 00:34:53.995839,32,0.3559554538614365,4.387329333221336e-05,7.0796498728216554e-06,COMPLETE
19,24.611874389648438,2025-11-26 22:56:23.027783,2025-11-26 23:01:07.280708,0 days 00:04:44.252925,16,0.43597320233356496,0.0005707044489150256,1.7958069419300262e-06,COMPLETE
