Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,RMSE,R2,Q2,Is_Final
2,1,checkpoint_epoch_001.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_001.pt,129.570932,107.084537,107.358252,-3.427691,-3.426078,False
2,15,checkpoint_epoch_015.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_015.pt,38.484526,33.394562,34.069119,0.554109,0.554272,False
2,30,checkpoint_epoch_030.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_030.pt,36.510806,31.874457,32.532324,0.593429,0.593577,False
2,45,checkpoint_epoch_045.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_045.pt,34.963681,31.724001,32.495312,0.594353,0.594501,False
2,60,checkpoint_epoch_060.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_060.pt,34.397798,31.126181,31.815271,0.611154,0.611296,False
2,75,checkpoint_epoch_075.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_075.pt,34.069444,31.632401,32.45574,0.595341,0.595488,False
2,90,checkpoint_epoch_090.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_090.pt,33.46543,30.945427,31.712087,0.613672,0.613813,False
2,105,checkpoint_epoch_105.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_105.pt,33.062448,30.874481,31.659205,0.614959,0.6151,False
2,120,checkpoint_epoch_120.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_120.pt,32.180882,31.017577,31.830972,0.61077,0.610912,False
2,135,checkpoint_epoch_135.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_135.pt,32.110276,30.991882,31.767201,0.612328,0.612469,False
2,150,checkpoint_epoch_150.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_150.pt,32.153295,30.762512,31.613867,0.616061,0.616201,False
2,160,checkpoint_epoch_160_final.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_2/checkpoint_epoch_160_final.pt,32.141412,30.929619,31.763779,0.612412,0.612553,True
